# collection_id,20260725T191617Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-independent,explicit-all,16,1048576,8,1024,1024,2533,30157,5180,216214,182528,16
1,compute-independent,explicit-all,16,1048576,8,1024,1024,4900,24868,5186,218938,184544,16
2,compute-independent,explicit-all,16,1048576,8,1024,1024,3698,24874,4371,218878,185344,16
3,compute-independent,explicit-all,16,1048576,8,1024,1024,1994,26921,4219,216171,180896,16
4,compute-independent,explicit-all,16,1048576,8,1024,1024,2541,26903,3839,211722,178336,16
5,compute-independent,explicit-all,16,1048576,8,1024,1024,2018,26449,4053,213693,180896,16
6,compute-independent,explicit-all,16,1048576,8,1024,1024,2198,25767,4241,216330,183200,16
7,compute-independent,explicit-all,16,1048576,8,1024,1024,1883,23376,4335,205349,173088,16
8,compute-independent,explicit-all,16,1048576,8,1024,1024,1826,27081,4123,212627,179136,16
9,compute-independent,explicit-all,16,1048576,8,1024,1024,1954,22910,4450,210510,178528,16
10,compute-independent,explicit-all,16,1048576,8,1024,1024,1809,23021,4545,206915,175040,16
11,compute-independent,explicit-all,16,1048576,8,1024,1024,1842,22831,4748,207474,174560,16
12,compute-independent,explicit-all,16,1048576,8,1024,1024,1819,22447,4513,208928,176512,16
13,compute-independent,explicit-all,16,1048576,8,1024,1024,1852,22969,4687,210253,177056,16
14,compute-independent,explicit-all,16,1048576,8,1024,1024,1798,22324,4410,210715,179104,16
15,compute-independent,explicit-all,16,1048576,8,1024,1024,2058,23199,4083,208861,176672,16
16,compute-independent,explicit-all,16,1048576,8,1024,1024,1822,22907,4327,208395,176544,16
17,compute-independent,explicit-all,16,1048576,8,1024,1024,1896,22711,4842,206452,175168,16
18,compute-independent,explicit-all,16,1048576,8,1024,1024,1775,22914,5710,214077,180672,16
19,compute-independent,explicit-all,16,1048576,8,1024,1024,2082,23112,4046,213026,180928,16
20,compute-independent,explicit-all,16,1048576,8,1024,1024,1729,23067,4162,217051,183328,16
21,compute-independent,explicit-all,16,1048576,8,1024,1024,1989,23288,4427,211156,178752,16
22,compute-independent,explicit-all,16,1048576,8,1024,1024,1865,22637,4563,208955,177184,16
23,compute-independent,explicit-all,16,1048576,8,1024,1024,1962,23210,4169,211961,178624,16
24,compute-independent,explicit-all,16,1048576,8,1024,1024,1777,23065,4697,210935,178944,16
25,compute-independent,explicit-all,16,1048576,8,1024,1024,1932,23251,4378,206536,174368,16
26,compute-independent,explicit-all,16,1048576,8,1024,1024,1710,22337,4499,212553,180928,16
27,compute-independent,explicit-all,16,1048576,8,1024,1024,1869,22964,4512,208974,176800,16
28,compute-independent,explicit-all,16,1048576,8,1024,1024,1808,23198,4620,206870,174944,16
29,compute-independent,explicit-all,16,1048576,8,1024,1024,1873,24150,4461,212841,177216,16
# validation_hash,fnv1a64:f0047a40f9cd8b25
