# collection_id,20260725T191617Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-chain,automatic,16,1048576,8,1024,1024,1221,20254,2427,166521,135872,16
1,graphics-chain,automatic,16,1048576,8,1024,1024,1336,20553,2844,166660,135264,16
2,graphics-chain,automatic,16,1048576,8,1024,1024,1249,19305,3420,166956,135808,16
3,graphics-chain,automatic,16,1048576,8,1024,1024,1286,19791,3085,166802,135712,16
4,graphics-chain,automatic,16,1048576,8,1024,1024,2576,18989,2388,166351,135360,16
5,graphics-chain,automatic,16,1048576,8,1024,1024,1285,20887,2612,166243,135552,16
6,graphics-chain,automatic,16,1048576,8,1024,1024,1229,20586,2383,167024,135552,16
7,graphics-chain,automatic,16,1048576,8,1024,1024,1622,19201,2579,166625,135680,16
8,graphics-chain,automatic,16,1048576,8,1024,1024,1180,18483,2480,165617,135488,16
9,graphics-chain,automatic,16,1048576,8,1024,1024,1298,18435,2640,165940,135808,16
10,graphics-chain,automatic,16,1048576,8,1024,1024,1219,18162,2346,165870,135520,16
11,graphics-chain,automatic,16,1048576,8,1024,1024,1348,18682,2656,166111,135520,16
12,graphics-chain,automatic,16,1048576,8,1024,1024,1189,18143,2816,164685,135360,16
13,graphics-chain,automatic,16,1048576,8,1024,1024,1309,18850,2632,165075,135456,16
14,graphics-chain,automatic,16,1048576,8,1024,1024,1207,18301,2539,164434,135360,16
15,graphics-chain,automatic,16,1048576,8,1024,1024,1274,18725,2411,165719,135552,16
16,graphics-chain,automatic,16,1048576,8,1024,1024,1191,18140,2669,165617,135744,16
17,graphics-chain,automatic,16,1048576,8,1024,1024,1272,18695,2931,165226,135392,16
18,graphics-chain,automatic,16,1048576,8,1024,1024,1204,18296,3065,167503,135712,16
19,graphics-chain,automatic,16,1048576,8,1024,1024,1296,18786,2689,165736,135584,16
20,graphics-chain,automatic,16,1048576,8,1024,1024,1180,18414,2560,165790,135648,16
21,graphics-chain,automatic,16,1048576,8,1024,1024,1248,18387,2346,166015,135488,16
22,graphics-chain,automatic,16,1048576,8,1024,1024,1154,18589,2584,166152,135808,16
23,graphics-chain,automatic,16,1048576,8,1024,1024,1269,18576,2400,166361,135648,16
24,graphics-chain,automatic,16,1048576,8,1024,1024,1169,18286,2794,165528,135584,16
25,graphics-chain,automatic,16,1048576,8,1024,1024,1277,18840,2371,165374,135264,16
26,graphics-chain,automatic,16,1048576,8,1024,1024,1178,18232,2580,165495,135360,16
27,graphics-chain,automatic,16,1048576,8,1024,1024,1240,18658,2379,166136,135776,16
28,graphics-chain,automatic,16,1048576,8,1024,1024,1191,20171,2602,166539,135456,16
29,graphics-chain,automatic,16,1048576,8,1024,1024,1269,19348,2406,166023,136000,16
# validation_hash,fnv1a64:de1814328067f325
