# collection_id,20260725T191617Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1141,21608,2393,164675,135264,16
1,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1171,21445,2753,164976,135264,16
2,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1226,20053,2842,164455,134880,16
3,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,2507,19823,2550,164253,135104,16
4,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1169,20825,2346,164375,135104,16
5,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1198,20921,2562,164213,135104,16
6,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1145,20340,2328,165051,135200,16
7,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1280,19840,2601,164696,135232,16
8,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1142,19324,2367,164639,135200,16
9,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1229,19204,2575,164684,135456,16
10,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1158,18678,2319,163731,135072,16
11,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1179,18897,2582,167340,135104,16
12,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1201,19531,2436,173940,143936,16
13,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1204,19839,2847,164308,135232,16
14,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1161,19246,2514,164806,135168,16
15,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1196,19822,2373,164673,135104,16
16,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1136,19610,2525,164002,135008,16
17,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1205,19827,2850,163791,134944,16
18,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1131,18773,3252,164549,135264,16
19,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1185,19100,2565,164529,135008,16
20,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1153,18943,2472,164264,135456,16
21,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1171,18654,2297,163407,135040,16
22,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1090,18750,2491,163268,134880,16
23,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1264,19089,2300,164852,135232,16
24,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1105,18485,2456,163476,134976,16
25,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1118,19125,2553,164729,135296,16
26,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1119,18840,2516,164027,135232,16
27,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1195,19041,2346,164834,135200,16
28,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1174,19350,2513,164190,135072,16
29,graphics-chain,hazard-only-scoped,16,1048576,8,1024,1024,1119,19681,2306,164948,135296,16
# validation_hash,fnv1a64:de1814328067f325
