# collection_id,20260725T191617Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-chain,hazard-only,16,1048576,8,1024,1024,1197,19097,2282,163562,135136,16
1,graphics-chain,hazard-only,16,1048576,8,1024,1024,1262,20735,3329,192090,135264,16
2,graphics-chain,hazard-only,16,1048576,8,1024,1024,2699,19039,2470,181637,152192,16
3,graphics-chain,hazard-only,16,1048576,8,1024,1024,1216,20151,2581,176354,135008,16
4,graphics-chain,hazard-only,16,1048576,8,1024,1024,1161,19119,2400,178502,135232,16
5,graphics-chain,hazard-only,16,1048576,8,1024,1024,1271,19502,2509,170564,141024,16
6,graphics-chain,hazard-only,16,1048576,8,1024,1024,1149,18235,2863,173937,145216,16
7,graphics-chain,hazard-only,16,1048576,8,1024,1024,2387,17937,2571,178274,135040,16
8,graphics-chain,hazard-only,16,1048576,8,1024,1024,1271,18105,2426,163966,135168,16
9,graphics-chain,hazard-only,16,1048576,8,1024,1024,1436,18730,2638,164146,135200,16
10,graphics-chain,hazard-only,16,1048576,8,1024,1024,1207,18016,2413,164185,134816,16
11,graphics-chain,hazard-only,16,1048576,8,1024,1024,1349,18536,2627,164721,135072,16
12,graphics-chain,hazard-only,16,1048576,8,1024,1024,1258,17900,2424,164386,134912,16
13,graphics-chain,hazard-only,16,1048576,8,1024,1024,1355,18558,2926,164668,135200,16
14,graphics-chain,hazard-only,16,1048576,8,1024,1024,1152,18083,2605,164599,135296,16
15,graphics-chain,hazard-only,16,1048576,8,1024,1024,1345,18615,2404,164263,134944,16
16,graphics-chain,hazard-only,16,1048576,8,1024,1024,1217,18084,2622,163776,134816,16
17,graphics-chain,hazard-only,16,1048576,8,1024,1024,1369,20673,2970,164582,135008,16
18,graphics-chain,hazard-only,16,1048576,8,1024,1024,1227,17643,3239,166182,135104,16
19,graphics-chain,hazard-only,16,1048576,8,1024,1024,1322,18633,2682,164647,135328,16
20,graphics-chain,hazard-only,16,1048576,8,1024,1024,1207,18213,2529,164356,135392,16
21,graphics-chain,hazard-only,16,1048576,8,1024,1024,1398,18721,2394,164349,135232,16
22,graphics-chain,hazard-only,16,1048576,8,1024,1024,1203,18016,2561,164262,135200,16
23,graphics-chain,hazard-only,16,1048576,8,1024,1024,1327,18511,2437,164647,135008,16
24,graphics-chain,hazard-only,16,1048576,8,1024,1024,1151,18141,2583,164049,135104,16
25,graphics-chain,hazard-only,16,1048576,8,1024,1024,1263,18602,2618,164678,135104,16
26,graphics-chain,hazard-only,16,1048576,8,1024,1024,1137,18011,2614,163989,135072,16
27,graphics-chain,hazard-only,16,1048576,8,1024,1024,1312,18483,2449,164756,135168,16
28,graphics-chain,hazard-only,16,1048576,8,1024,1024,1190,17746,2557,164014,134784,16
29,graphics-chain,hazard-only,16,1048576,8,1024,1024,1349,18537,2411,164746,135360,16
# validation_hash,fnv1a64:de1814328067f325
