# collection_id,20260725T191617Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1236,21301,3043,166590,134976,16
1,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,2451,20506,2914,167001,135104,16
2,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1251,22128,2451,165965,135040,16
3,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1116,21852,2660,166715,135360,16
4,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1171,23702,2505,166102,135040,16
5,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1165,20239,3190,166550,135008,16
6,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,2381,20905,2452,166323,135136,16
7,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1109,20368,2653,166074,134656,16
8,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1167,20387,2466,166638,135072,16
9,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1120,20045,2683,166665,135168,16
10,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1172,20334,2466,166713,135200,16
11,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1213,19801,2662,166399,135360,16
12,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1136,19739,2697,166578,134816,16
13,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1208,19729,2652,166261,134816,16
14,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1178,20151,2726,166780,135040,16
15,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1189,20079,2491,167170,135456,16
16,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1148,20097,2734,166140,134880,16
17,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1157,20132,3027,166819,135072,16
18,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1177,19413,3324,168470,135168,16
19,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1246,20049,2713,184326,148288,16
20,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1206,19921,2594,166802,135328,16
21,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1184,19358,2443,166914,135168,16
22,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1108,20035,2628,166513,135264,16
23,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1161,19983,2489,166337,134880,16
24,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1122,19972,2831,167562,135392,16
25,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1216,20074,2463,166751,135072,16
26,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1161,19326,2692,166889,135328,16
27,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1103,32350,2572,169091,136032,16
28,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1171,21154,2805,168258,135456,16
29,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1241,20890,2578,169516,135392,16
# validation_hash,fnv1a64:161975f4e03e1a92
