# collection_id,20260725T191617Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1368,18211,3571,194541,163584,16
1,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,2911,19137,2593,198574,164128,16
2,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1418,23726,2796,196251,164576,16
3,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1543,20806,2547,197030,164256,16
4,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1316,20176,2748,197012,164160,16
5,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1441,25800,2551,196231,164032,16
6,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1352,18980,2729,195870,164320,16
7,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1477,19142,2617,195863,163872,16
8,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1340,17735,2842,194668,163520,16
9,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1440,18687,2586,195438,163680,16
10,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1323,18075,2720,195681,164160,16
11,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1506,18655,2580,196172,164128,16
12,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1323,18170,2966,195579,163360,16
13,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1440,18225,2722,196355,163648,16
14,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1288,18232,2537,196253,164128,16
15,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1435,18834,2811,195809,164032,16
16,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1297,18289,3328,194801,163712,16
17,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1434,18723,3413,197325,164352,16
18,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1363,17676,2742,195219,163808,16
19,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1534,18858,2837,196437,163968,16
20,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1314,17976,2616,196574,164160,16
21,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1638,18499,2843,195498,163712,16
22,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1333,18204,2553,195930,163808,16
23,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1524,18607,2685,196415,163584,16
24,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1349,17766,2802,197298,163840,16
25,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1485,18805,2836,200129,163872,16
26,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1335,18221,2582,195493,163456,16
27,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1472,18214,2872,198372,163648,16
28,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1517,20974,3010,196951,164096,16
29,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1482,19121,2872,196047,163936,16
# validation_hash,fnv1a64:bed1d5e4700d559c
