# collection_id,20260725T191617Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,mixed-independent,explicit-all,16,1048576,8,1024,1024,1143,16526,2673,194626,164896,16
1,mixed-independent,explicit-all,16,1048576,8,1024,1024,1183,17680,2620,209847,166496,16
2,mixed-independent,explicit-all,16,1048576,8,1024,1024,1239,17784,2492,199966,169984,16
3,mixed-independent,explicit-all,16,1048576,8,1024,1024,1172,18457,2347,199843,168960,16
4,mixed-independent,explicit-all,16,1048576,8,1024,1024,1256,19298,2641,196796,166112,16
5,mixed-independent,explicit-all,16,1048576,8,1024,1024,1243,17972,3175,195863,165728,16
6,mixed-independent,explicit-all,16,1048576,8,1024,1024,2466,16849,2564,200230,170240,16
7,mixed-independent,explicit-all,16,1048576,8,1024,1024,1164,16640,2311,198818,168832,16
8,mixed-independent,explicit-all,16,1048576,8,1024,1024,1282,16545,2594,205146,175040,16
9,mixed-independent,explicit-all,16,1048576,8,1024,1024,1456,16514,2300,199717,169440,16
10,mixed-independent,explicit-all,16,1048576,8,1024,1024,1186,17743,2630,210289,165024,16
11,mixed-independent,explicit-all,16,1048576,8,1024,1024,1248,17181,2467,196291,164992,16
12,mixed-independent,explicit-all,16,1048576,8,1024,1024,1162,17130,2847,195650,164864,16
13,mixed-independent,explicit-all,16,1048576,8,1024,1024,1276,17138,2608,195856,165312,16
14,mixed-independent,explicit-all,16,1048576,8,1024,1024,1194,16578,2431,195895,165056,16
15,mixed-independent,explicit-all,16,1048576,8,1024,1024,1239,17173,2670,195705,165216,16
16,mixed-independent,explicit-all,16,1048576,8,1024,1024,1156,17313,3001,194624,164288,16
17,mixed-independent,explicit-all,16,1048576,8,1024,1024,1260,17446,3187,196861,164896,16
18,mixed-independent,explicit-all,16,1048576,8,1024,1024,1265,16620,2666,195457,164960,16
19,mixed-independent,explicit-all,16,1048576,8,1024,1024,1251,17287,2621,196126,165216,16
20,mixed-independent,explicit-all,16,1048576,8,1024,1024,1252,17058,2452,195835,164992,16
21,mixed-independent,explicit-all,16,1048576,8,1024,1024,1219,17212,2671,195919,165024,16
22,mixed-independent,explicit-all,16,1048576,8,1024,1024,1296,17247,2398,195701,165184,16
23,mixed-independent,explicit-all,16,1048576,8,1024,1024,1252,16649,2666,195658,165184,16
24,mixed-independent,explicit-all,16,1048576,8,1024,1024,1291,17212,2987,196491,165248,16
25,mixed-independent,explicit-all,16,1048576,8,1024,1024,1204,17131,2584,194882,164544,16
26,mixed-independent,explicit-all,16,1048576,8,1024,1024,1300,17016,2445,196412,165120,16
27,mixed-independent,explicit-all,16,1048576,8,1024,1024,1223,17147,2721,194608,164384,16
28,mixed-independent,explicit-all,16,1048576,8,1024,1024,1297,17191,2415,197245,166240,16
29,mixed-independent,explicit-all,16,1048576,8,1024,1024,1637,17135,2690,195455,164864,16
# validation_hash,fnv1a64:bed1d5e4700d559c
