# collection_id,20260725T191617Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1261,12982,2357,168570,137952,16
1,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1478,13138,2018,168708,138144,16
2,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1357,13053,2248,169227,138784,16
3,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1891,13588,2018,168582,137760,16
4,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1351,13202,2232,168350,137920,16
5,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1432,13466,3191,168012,137696,16
6,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1325,12583,2285,168663,137984,16
7,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1611,13463,2049,168890,137888,16
8,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1334,12918,2320,168309,138080,16
9,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1511,13548,2013,168332,138016,16
10,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1261,13091,2218,168478,137856,16
11,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1486,13472,2068,168545,137952,16
12,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1289,12918,3327,168655,137696,16
13,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1458,13001,2249,168089,137984,16
14,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1327,13050,2065,168763,138368,16
15,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1503,13398,2271,168218,137792,16
16,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1301,13076,2567,168010,138048,16
17,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1568,13546,2743,168962,138112,16
18,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1273,13138,2210,168556,138016,16
19,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1427,12579,3204,168592,138144,16
20,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1341,12800,2053,168339,137952,16
21,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1266,12675,2229,167983,137984,16
22,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1281,12633,2022,168064,137824,16
23,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1281,12747,2213,168846,137920,16
24,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1360,12690,2082,169639,138240,16
25,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1314,12565,2243,168308,138016,16
26,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1332,12325,3266,168426,137952,16
27,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1226,12880,2244,168002,137984,16
28,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1250,12712,1969,169947,137952,16
29,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1311,12383,2638,168834,138432,16
# validation_hash,fnv1a64:bed1d5e4700d559c
