# collection_id,20260725T191617Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-chain,automatic,16,1048576,8,1024,1024,1373,13330,2501,206849,177120,16
1,compute-chain,automatic,16,1048576,8,1024,1024,1277,14287,2849,196035,166304,16
2,compute-chain,automatic,16,1048576,8,1024,1024,1446,15302,2447,194322,164608,16
3,compute-chain,automatic,16,1048576,8,1024,1024,1182,14938,2614,201384,171648,16
4,compute-chain,automatic,16,1048576,8,1024,1024,1346,14085,2450,198042,168288,16
5,compute-chain,automatic,16,1048576,8,1024,1024,1282,13844,3291,197783,168192,16
6,compute-chain,automatic,16,1048576,8,1024,1024,3352,14250,2558,194736,164672,16
7,compute-chain,automatic,16,1048576,8,1024,1024,1311,12166,2645,194101,164192,16
8,compute-chain,automatic,16,1048576,8,1024,1024,1325,12030,2433,203246,173280,16
9,compute-chain,automatic,16,1048576,8,1024,1024,1275,12821,2651,196794,166720,16
10,compute-chain,automatic,16,1048576,8,1024,1024,1371,12770,2454,198400,164768,16
11,compute-chain,automatic,16,1048576,8,1024,1024,1271,12886,2698,196368,167008,16
12,compute-chain,automatic,16,1048576,8,1024,1024,1335,12863,2453,196635,166528,16
13,compute-chain,automatic,16,1048576,8,1024,1024,1743,12970,2790,194192,164416,16
14,compute-chain,automatic,16,1048576,8,1024,1024,1341,12990,2645,195714,166304,16
15,compute-chain,automatic,16,1048576,8,1024,1024,1314,12912,2421,194527,164288,16
16,compute-chain,automatic,16,1048576,8,1024,1024,1316,12054,2661,193608,164192,16
17,compute-chain,automatic,16,1048576,8,1024,1024,1267,12859,2986,193277,164320,16
18,compute-chain,automatic,16,1048576,8,1024,1024,1355,12785,2993,200492,170304,16
19,compute-chain,automatic,16,1048576,8,1024,1024,1346,13007,2644,194358,164928,16
20,compute-chain,automatic,16,1048576,8,1024,1024,1397,12846,2579,195746,166048,16
21,compute-chain,automatic,16,1048576,8,1024,1024,1356,12804,2507,200511,170912,16
22,compute-chain,automatic,16,1048576,8,1024,1024,1321,12065,2682,193587,164064,16
23,compute-chain,automatic,16,1048576,8,1024,1024,1350,12913,2386,194083,164352,16
24,compute-chain,automatic,16,1048576,8,1024,1024,1344,12958,2637,196186,166656,16
25,compute-chain,automatic,16,1048576,8,1024,1024,1280,12757,2686,201308,171072,16
26,compute-chain,automatic,16,1048576,8,1024,1024,1347,12980,2607,200009,169376,16
27,compute-chain,automatic,16,1048576,8,1024,1024,1356,13585,2415,195889,166240,16
28,compute-chain,automatic,16,1048576,8,1024,1024,1159,12880,2669,194169,164768,16
29,compute-chain,automatic,16,1048576,8,1024,1024,1338,12944,2445,194327,164416,16
# validation_hash,fnv1a64:1051691fc9daa325
