# collection_id,20260725T191617Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1588,14091,2542,194747,164864,16
1,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1349,14885,3155,195200,164256,16
2,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1390,16178,2608,195408,164672,16
3,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1324,16327,2760,194543,164064,16
4,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1314,14928,2596,197178,166304,16
5,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1403,15918,2775,200756,170144,16
6,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1383,15751,2541,195377,164768,16
7,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1470,14168,2808,196346,166144,16
8,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1470,14143,2574,202015,171136,16
9,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1456,12613,2824,200858,166688,16
10,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1421,14064,2608,200136,168512,16
11,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1439,14127,2896,195249,164672,16
12,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1382,14073,2646,198605,168096,16
13,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1363,14015,3002,196951,166688,16
14,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1478,14315,2797,195007,164576,16
15,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1321,14101,2556,197022,166112,16
16,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1478,14084,3006,195467,164864,16
17,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1436,12563,3129,196560,166528,16
18,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1405,13935,3843,201635,170848,16
19,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1451,13223,2757,198611,168192,16
20,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1401,13343,2693,197629,167008,16
21,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1420,13996,2595,196898,166304,16
22,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1483,14071,2767,193941,164192,16
23,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1464,14074,2591,200776,170816,16
24,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1462,14018,2736,194346,164672,16
25,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1353,14053,2794,197821,166912,16
26,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1414,14154,2788,197396,166912,16
27,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1274,13882,2556,195489,164480,16
28,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1454,14016,2742,198407,168128,16
29,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1390,13946,2601,194800,164192,16
# validation_hash,fnv1a64:1051691fc9daa325
