# collection_id,20260725T191617Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,1256,20536,2478,166787,135776,16
1,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,1258,33915,3085,166937,135456,16
2,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,1199,19482,13190,167328,135648,16
3,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,2701,20239,15505,166537,135840,16
4,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,1158,31954,2624,167265,136384,16
5,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,1326,21150,14280,166334,135744,16
6,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,1194,33856,2594,166892,135936,16
7,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,1355,19145,16135,167123,135328,16
8,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,1223,19770,2624,167354,135296,16
9,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,1420,20316,2858,169169,135904,16
10,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,1158,19604,2616,166352,135776,16
11,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,1346,21601,12186,167874,136000,16
12,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,1294,19252,2864,166639,135680,16
13,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,1362,20159,2838,167070,135808,16
14,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,1228,19553,3015,166865,135776,16
15,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,1377,20080,2599,177432,135904,16
16,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,1282,19458,2760,167811,135840,16
17,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,1501,19943,3227,167009,135584,16
18,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,1316,19473,3548,168581,135872,16
19,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,1482,20060,3210,168310,135968,16
20,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,1208,19433,2829,167024,135712,16
21,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,1348,20171,2780,169385,135936,16
22,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,1748,19411,2923,167427,135424,16
23,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,1420,20187,2712,167735,135680,16
24,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,1243,19778,3265,167131,135648,16
25,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,1362,20194,2699,167877,135488,16
26,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,1261,19644,2839,165587,135424,16
27,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,1369,22152,2715,166926,135840,16
28,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,1277,19215,2866,166399,135392,16
29,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,1407,20076,2629,168221,135648,16
# validation_hash,fnv1a64:de1814328067f325
