# collection_id,20260725T191617Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1258,16163,3044,189197,159328,16
1,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1407,18361,18056,190286,159296,16
2,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1241,17792,2533,199313,158880,16
3,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1415,17273,14975,188815,158368,16
4,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,2624,16306,15654,188168,158272,16
5,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1370,18166,2433,194164,164160,16
6,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1229,20145,11197,188799,158144,16
7,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1395,16539,15253,189741,158784,16
8,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1329,19361,2830,189295,158656,16
9,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1511,16481,2445,187583,158272,16
10,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1188,15819,2517,201767,158432,16
11,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1467,16925,2451,190726,159072,16
12,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1201,16465,2874,188362,158208,16
13,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1411,17056,2669,188331,158336,16
14,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1232,16479,2407,188680,158496,16
15,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1418,17104,2595,189666,158368,16
16,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1221,16853,2997,188989,159200,16
17,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1465,16546,3181,189460,159104,16
18,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1240,16542,2596,189435,158720,16
19,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1364,16804,2567,187852,157792,16
20,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1239,16823,2410,188251,158336,16
21,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1423,16977,2634,187962,158176,16
22,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1170,16383,2476,190621,159712,16
23,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1450,16622,2708,188135,158208,16
24,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1257,16590,2685,188207,157824,16
25,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1404,17088,2611,187502,157760,16
26,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1307,16824,2404,188430,158336,16
27,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1355,17404,2765,187946,157856,16
28,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1225,16421,2434,188556,157920,16
29,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1489,17339,2979,187847,158240,16
# validation_hash,fnv1a64:d723cf861be8a15e
