# collection_id,20260725T191617Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,mixed-chain,automatic,16,1048576,8,1024,1024,1476,17272,3047,196153,165344,16
1,mixed-chain,automatic,16,1048576,8,1024,1024,1449,18714,3107,196009,164256,16
2,mixed-chain,automatic,16,1048576,8,1024,1024,2599,18283,2703,196351,164352,16
3,mixed-chain,automatic,16,1048576,8,1024,1024,1536,19922,2753,197056,164704,16
4,mixed-chain,automatic,16,1048576,8,1024,1024,1352,19820,2731,195666,164256,16
5,mixed-chain,automatic,16,1048576,8,1024,1024,1461,19853,2575,196143,164288,16
6,mixed-chain,automatic,16,1048576,8,1024,1024,1288,18485,3732,196585,165088,16
7,mixed-chain,automatic,16,1048576,8,1024,1024,1427,17949,2598,196119,164768,16
8,mixed-chain,automatic,16,1048576,8,1024,1024,1294,17450,2793,196786,165792,16
9,mixed-chain,automatic,16,1048576,8,1024,1024,1479,18056,2593,195914,164512,16
10,mixed-chain,automatic,16,1048576,8,1024,1024,1355,17482,2701,195099,164384,16
11,mixed-chain,automatic,16,1048576,8,1024,1024,1404,18017,2760,195770,164512,16
12,mixed-chain,automatic,16,1048576,8,1024,1024,1305,17335,3069,195385,164256,16
13,mixed-chain,automatic,16,1048576,8,1024,1024,1671,17721,2851,195481,164960,16
14,mixed-chain,automatic,16,1048576,8,1024,1024,1282,17285,2482,195818,164672,16
15,mixed-chain,automatic,16,1048576,8,1024,1024,1467,17957,2767,194991,164384,16
16,mixed-chain,automatic,16,1048576,8,1024,1024,1281,17477,3073,195008,164768,16
17,mixed-chain,automatic,16,1048576,8,1024,1024,1459,17607,3384,195740,163904,16
18,mixed-chain,automatic,16,1048576,8,1024,1024,1404,17442,2785,195240,164448,16
19,mixed-chain,automatic,16,1048576,8,1024,1024,1482,17878,2796,194872,164256,16
20,mixed-chain,automatic,16,1048576,8,1024,1024,1312,17379,2455,195891,164960,16
21,mixed-chain,automatic,16,1048576,8,1024,1024,1480,17880,2817,195789,164000,16
22,mixed-chain,automatic,16,1048576,8,1024,1024,1370,17092,3908,195980,164544,16
23,mixed-chain,automatic,16,1048576,8,1024,1024,2147,20123,3183,196042,164256,16
24,mixed-chain,automatic,16,1048576,8,1024,1024,1359,17032,2789,195870,164416,16
25,mixed-chain,automatic,16,1048576,8,1024,1024,1458,18114,2904,195412,164576,16
26,mixed-chain,automatic,16,1048576,8,1024,1024,1254,17309,2622,196158,164736,16
27,mixed-chain,automatic,16,1048576,8,1024,1024,1470,17521,2824,196138,164800,16
28,mixed-chain,automatic,16,1048576,8,1024,1024,1274,17504,2570,196499,165440,16
29,mixed-chain,automatic,16,1048576,8,1024,1024,1532,18030,2920,195341,164640,16
# validation_hash,fnv1a64:d723cf861be8a15e
