# collection_id,20260725T191617Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,mixed-chain,explicit-all,16,1048576,8,1024,1024,1312,22190,3204,196120,164832,16
1,mixed-chain,explicit-all,16,1048576,8,1024,1024,1500,18007,15588,195494,164320,16
2,mixed-chain,explicit-all,16,1048576,8,1024,1024,2518,21915,12545,195147,164512,16
3,mixed-chain,explicit-all,16,1048576,8,1024,1024,1550,21271,15656,199434,168160,16
4,mixed-chain,explicit-all,16,1048576,8,1024,1024,1211,18513,18724,195657,163872,16
5,mixed-chain,explicit-all,16,1048576,8,1024,1024,1543,20091,2664,196476,164832,16
6,mixed-chain,explicit-all,16,1048576,8,1024,1024,1331,18439,3302,195081,164224,16
7,mixed-chain,explicit-all,16,1048576,8,1024,1024,2653,17927,2638,195705,164384,16
8,mixed-chain,explicit-all,16,1048576,8,1024,1024,1356,17511,2889,195929,164384,16
9,mixed-chain,explicit-all,16,1048576,8,1024,1024,1545,18167,2634,195921,164960,16
10,mixed-chain,explicit-all,16,1048576,8,1024,1024,1365,17418,2813,195601,164768,16
11,mixed-chain,explicit-all,16,1048576,8,1024,1024,1583,18118,2630,195348,164256,16
12,mixed-chain,explicit-all,16,1048576,8,1024,1024,1392,17362,2963,195190,164032,16
13,mixed-chain,explicit-all,16,1048576,8,1024,1024,1553,17967,2754,196158,164800,16
14,mixed-chain,explicit-all,16,1048576,8,1024,1024,1426,17581,2595,195181,163872,16
15,mixed-chain,explicit-all,16,1048576,8,1024,1024,1520,17808,2830,195526,164704,16
16,mixed-chain,explicit-all,16,1048576,8,1024,1024,1381,17300,3140,196074,165536,16
17,mixed-chain,explicit-all,16,1048576,8,1024,1024,1545,18008,3373,197794,164544,16
18,mixed-chain,explicit-all,16,1048576,8,1024,1024,1465,17225,2737,195159,164064,16
19,mixed-chain,explicit-all,16,1048576,8,1024,1024,1567,17562,2870,195818,164288,16
20,mixed-chain,explicit-all,16,1048576,8,1024,1024,1413,17459,2527,195506,164320,16
21,mixed-chain,explicit-all,16,1048576,8,1024,1024,1571,18095,2780,195530,164096,16
22,mixed-chain,explicit-all,16,1048576,8,1024,1024,1351,17378,2543,195966,164512,16
23,mixed-chain,explicit-all,16,1048576,8,1024,1024,1569,18075,2831,195256,164032,16
24,mixed-chain,explicit-all,16,1048576,8,1024,1024,1417,17360,2747,196655,164128,16
25,mixed-chain,explicit-all,16,1048576,8,1024,1024,1486,18077,2912,195280,164672,16
26,mixed-chain,explicit-all,16,1048576,8,1024,1024,1359,17383,2569,196953,165120,16
27,mixed-chain,explicit-all,16,1048576,8,1024,1024,1484,24038,3008,195736,164224,16
28,mixed-chain,explicit-all,16,1048576,8,1024,1024,1288,16834,2564,196770,165664,16
29,mixed-chain,explicit-all,16,1048576,8,1024,1024,1528,17971,2833,194708,164032,16
# validation_hash,fnv1a64:d723cf861be8a15e
