# collection_id,20260725T191617Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,3905,31916,5962,197202,164320,16
1,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,3660,35614,5748,197936,163904,16
2,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,3353,30957,6629,198518,164672,16
3,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,6707,34882,5982,196492,164960,16
4,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,3657,19638,3513,194100,164032,16
5,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1628,19609,2651,194956,163968,16
6,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1413,18782,2745,194837,164832,16
7,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1454,17883,2646,194044,163936,16
8,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1299,17083,3072,194521,164992,16
9,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1378,17618,2606,194534,164512,16
10,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1289,17197,2901,194963,164640,16
11,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1540,17232,2521,195048,164768,16
12,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1300,17147,2740,194641,164608,16
13,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1454,17692,2985,194267,164672,16
14,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1336,17037,2641,195292,164896,16
15,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1474,17770,2820,194462,164736,16
16,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1274,17306,3185,193938,164544,16
17,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1434,17183,3870,194515,164416,16
18,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1338,17255,2663,194006,163936,16
19,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1470,17650,2745,194526,164576,16
20,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1373,16656,2619,194668,164736,16
21,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1421,17568,2815,193995,164416,16
22,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1361,16912,2514,194256,164480,16
23,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1462,17666,2712,194301,164512,16
24,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1362,19099,2601,194739,164896,16
25,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1446,17606,2997,195235,164416,16
26,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1340,16885,2477,193865,164032,16
27,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1456,17231,2734,194869,165088,16
28,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1339,16992,2542,195102,164864,16
29,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1511,17612,2812,193688,164096,16
# validation_hash,fnv1a64:d723cf861be8a15e
