# collection_id,20260725T193736Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Radeon RX 7900 XT (RADV NAVI31)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1080,4470,4460,273051,244680,16
1,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1180,4750,4460,273592,244880,16
2,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1020,4630,4470,273161,244760,16
3,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1000,4640,4670,273212,244640,16
4,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1080,4570,4800,271991,242480,16
5,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1160,4600,4611,268361,239120,16
6,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,990,4520,4370,267871,238920,16
7,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1130,4650,4310,268072,238880,16
8,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1100,4500,4230,267781,238880,16
9,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1060,4650,4190,247402,224120,16
10,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1140,4850,10020,248701,222760,16
11,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1150,4620,4240,248711,223000,16
12,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1070,4610,4520,248631,222960,16
13,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1100,4651,4340,247531,221920,16
14,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1170,4880,4440,231921,206040,16
15,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1150,5050,4350,232312,206320,16
16,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1070,4890,4150,231421,205760,16
17,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1260,4540,4260,231821,206160,16
18,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1060,4960,4460,218871,195840,16
19,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1150,4830,4290,221402,195760,16
20,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1270,4910,4340,221021,195600,16
21,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1300,5140,5100,221251,195800,16
22,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1120,4900,4820,222111,195920,16
23,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1200,4680,4490,217711,192800,16
24,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1070,4770,4390,215051,190480,16
25,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1070,4530,4340,226932,190320,16
26,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1130,4700,4380,216421,190400,16
27,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1110,4870,4220,213411,187720,16
28,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1120,4960,4210,205891,180600,16
29,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1120,5060,4210,205381,180320,16
# validation_hash,fnv1a64:1051691fc9daa325
