# collection_id,20260725T193736Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Radeon RX 7900 XT (RADV NAVI31)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-chain,explicit-all,16,1048576,8,1024,1024,1030,4660,4410,274282,245000,16
1,compute-chain,explicit-all,16,1048576,8,1024,1024,1020,4710,4600,274431,244720,16
2,compute-chain,explicit-all,16,1048576,8,1024,1024,1020,4840,4620,273352,244760,16
3,compute-chain,explicit-all,16,1048576,8,1024,1024,1000,4720,4690,275961,244600,16
4,compute-chain,explicit-all,16,1048576,8,1024,1024,990,4650,4630,276192,245160,16
5,compute-chain,explicit-all,16,1048576,8,1024,1024,1000,4890,4520,274481,244600,16
6,compute-chain,explicit-all,16,1048576,8,1024,1024,1290,4830,4830,275852,244600,16
7,compute-chain,explicit-all,16,1048576,8,1024,1024,1010,4740,4560,272901,243120,16
8,compute-chain,explicit-all,16,1048576,8,1024,1024,1020,4820,8240,271962,242120,16
9,compute-chain,explicit-all,16,1048576,8,1024,1024,1000,4780,4510,270001,241640,16
10,compute-chain,explicit-all,16,1048576,8,1024,1024,1020,4670,4770,273472,241600,16
11,compute-chain,explicit-all,16,1048576,8,1024,1024,1300,4860,4590,250721,225080,16
12,compute-chain,explicit-all,16,1048576,8,1024,1024,1010,4540,4770,250652,225000,16
13,compute-chain,explicit-all,16,1048576,8,1024,1024,1030,4700,4590,250591,225080,16
14,compute-chain,explicit-all,16,1048576,8,1024,1024,1080,4870,4910,248601,223400,16
15,compute-chain,explicit-all,16,1048576,8,1024,1024,1060,4550,4620,236552,209120,16
16,compute-chain,explicit-all,16,1048576,8,1024,1024,1030,4740,4710,237691,209320,16
17,compute-chain,explicit-all,16,1048576,8,1024,1024,1000,4840,4420,237561,209320,16
18,compute-chain,explicit-all,16,1048576,8,1024,1024,1020,4690,4620,238181,209400,16
19,compute-chain,explicit-all,16,1048576,8,1024,1024,1060,4800,4540,230092,201680,16
20,compute-chain,explicit-all,16,1048576,8,1024,1024,1000,4820,4660,229851,201880,16
21,compute-chain,explicit-all,16,1048576,8,1024,1024,1020,4730,4960,228721,201640,16
22,compute-chain,explicit-all,16,1048576,8,1024,1024,1000,4850,4770,229861,201920,16
23,compute-chain,explicit-all,16,1048576,8,1024,1024,1010,4790,4781,229011,201080,16
24,compute-chain,explicit-all,16,1048576,8,1024,1024,1060,4960,4740,216491,190040,16
25,compute-chain,explicit-all,16,1048576,8,1024,1024,1010,4790,4980,213401,190120,16
26,compute-chain,explicit-all,16,1048576,8,1024,1024,1030,4840,4810,217821,189960,16
27,compute-chain,explicit-all,16,1048576,8,1024,1024,1010,4700,4780,218142,190160,16
28,compute-chain,explicit-all,16,1048576,8,1024,1024,1050,4770,4730,279751,182960,16
29,compute-chain,explicit-all,16,1048576,8,1024,1024,1010,4930,4710,210101,182560,16
# validation_hash,fnv1a64:1051691fc9daa325
