# collection_id,20260725T193736Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Radeon RX 7900 XT (RADV NAVI31)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1270,4900,4440,272041,244840,16
1,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1060,4890,4800,272832,245200,16
2,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1030,4690,4470,273831,244760,16
3,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1060,4780,4270,273222,244840,16
4,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1010,4890,4330,273351,244720,16
5,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1020,4970,4400,273642,244880,16
6,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1010,4820,4400,272381,245160,16
7,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1000,4720,4400,273712,244840,16
8,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1000,4780,4470,272121,244840,16
9,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1010,4950,4340,273502,244840,16
10,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1010,4710,4470,268431,243160,16
11,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1020,4730,4310,269921,242360,16
12,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1010,4810,4490,269682,241960,16
13,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1150,4910,4370,271251,242240,16
14,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1010,4690,4310,270082,241640,16
15,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1010,4820,4340,245271,221960,16
16,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1010,4780,4300,248412,223200,16
17,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1030,4860,4390,245271,221760,16
18,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1040,4800,4290,246701,223160,16
19,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1010,4740,4260,244742,219880,16
20,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1230,4750,4580,234541,209680,16
21,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1010,4740,5040,235071,209880,16
22,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1010,4680,4400,235071,210120,16
23,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1000,4740,4660,235672,209760,16
24,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1030,4870,4530,235521,209000,16
25,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1010,4670,4340,227351,203000,16
26,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1050,4840,4440,227981,203000,16
27,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1010,4880,4510,228912,202880,16
28,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1020,4930,4420,228651,202520,16
29,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1010,4840,4380,214331,191560,16
# validation_hash,fnv1a64:1051691fc9daa325
