# collection_id,20260725T193736Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Radeon RX 7900 XT (RADV NAVI31)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-independent,automatic,16,1048576,8,1024,1024,1220,5340,5430,274612,244200,16
1,compute-independent,automatic,16,1048576,8,1024,1024,1260,5440,5400,274361,243840,16
2,compute-independent,automatic,16,1048576,8,1024,1024,1190,5600,5240,274732,243960,16
3,compute-independent,automatic,16,1048576,8,1024,1024,1220,5510,5290,274861,244240,16
4,compute-independent,automatic,16,1048576,8,1024,1024,1160,5440,5510,274362,243760,16
5,compute-independent,automatic,16,1048576,8,1024,1024,1180,5530,5190,274861,244280,16
6,compute-independent,automatic,16,1048576,8,1024,1024,1170,5350,5280,274732,244320,16
7,compute-independent,automatic,16,1048576,8,1024,1024,1190,5440,5350,267911,237680,16
8,compute-independent,automatic,16,1048576,8,1024,1024,1210,5450,5460,265772,233960,16
9,compute-independent,automatic,16,1048576,8,1024,1024,1210,5480,5270,265611,233960,16
10,compute-independent,automatic,16,1048576,8,1024,1024,1200,5320,5750,265612,234120,16
11,compute-independent,automatic,16,1048576,8,1024,1024,1170,5390,5220,242801,219320,16
12,compute-independent,automatic,16,1048576,8,1024,1024,1230,5360,5670,249491,219160,16
13,compute-independent,automatic,16,1048576,8,1024,1024,1200,5510,5110,249492,219120,16
14,compute-independent,automatic,16,1048576,8,1024,1024,1440,5390,5080,246731,218000,16
15,compute-independent,automatic,16,1048576,8,1024,1024,1170,5420,5410,232171,202120,16
16,compute-independent,automatic,16,1048576,8,1024,1024,1250,5450,5280,230531,202480,16
17,compute-independent,automatic,16,1048576,8,1024,1024,1170,5451,5210,230071,202400,16
18,compute-independent,automatic,16,1048576,8,1024,1024,1170,5490,5370,230091,202160,16
19,compute-independent,automatic,16,1048576,8,1024,1024,1200,5490,5180,229871,201960,16
20,compute-independent,automatic,16,1048576,8,1024,1024,1200,5390,5590,219961,192720,16
21,compute-independent,automatic,16,1048576,8,1024,1024,1170,5410,5691,220181,192400,16
22,compute-independent,automatic,16,1048576,8,1024,1024,1170,5340,5280,220161,192600,16
23,compute-independent,automatic,16,1048576,8,1024,1024,1230,5580,5430,220201,192880,16
24,compute-independent,automatic,16,1048576,8,1024,1024,1190,5530,5230,279622,187680,16
25,compute-independent,automatic,16,1048576,8,1024,1024,1200,5460,5350,214371,187320,16
26,compute-independent,automatic,16,1048576,8,1024,1024,1230,5450,5390,214921,187240,16
27,compute-independent,automatic,16,1048576,8,1024,1024,1220,5530,5570,214951,187680,16
28,compute-independent,automatic,16,1048576,8,1024,1024,1180,5340,5330,208081,180080,16
29,compute-independent,automatic,16,1048576,8,1024,1024,1170,5590,5440,204441,176960,16
# validation_hash,fnv1a64:f0047a40f9cd8b25
