# collection_id,20260725T193736Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Radeon RX 7900 XT (RADV NAVI31)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1170,3530,5030,206561,176280,16
1,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1160,3470,4910,206441,176320,16
2,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1190,3560,4971,206701,176240,16
3,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1220,3480,4850,205741,176280,16
4,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1170,3660,4940,206511,176200,16
5,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1170,3690,5360,206431,176360,16
6,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1160,3510,5190,207061,176280,16
7,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1170,3450,5180,206871,176400,16
8,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1180,3490,5110,206191,176360,16
9,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1170,3630,5190,204841,176280,16
10,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1170,3680,5070,206482,176400,16
11,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1170,3470,5180,207091,176440,16
12,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1170,3550,5010,206901,176440,16
13,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1380,3800,5960,206361,176200,16
14,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1250,3610,5390,189601,162520,16
15,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1160,3380,4920,190211,161320,16
16,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1170,3530,5010,190621,161440,16
17,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1170,3560,4960,189681,161280,16
18,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1220,3820,5140,190301,161400,16
19,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1180,3890,5130,180771,154360,16
20,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1180,3600,5110,181921,153600,16
21,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1200,3420,5440,182201,153640,16
22,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1210,3470,5050,180031,153480,16
23,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1170,3540,5340,182001,153720,16
24,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1180,3640,5290,243522,143720,16
25,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1150,3450,5190,171561,143600,16
26,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1200,3610,5440,171491,143640,16
27,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1270,3600,5360,169691,143880,16
28,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1190,3470,5330,171020,143760,16
29,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1190,3580,5340,163350,137920,16
# validation_hash,fnv1a64:f0047a40f9cd8b25
