# collection_id,20260725T193736Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Radeon RX 7900 XT (RADV NAVI31)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-independent,hazard-only,16,1048576,8,1024,1024,1220,3910,5280,207321,176040,16
1,compute-independent,hazard-only,16,1048576,8,1024,1024,1190,3750,5360,207801,176120,16
2,compute-independent,hazard-only,16,1048576,8,1024,1024,1240,3820,5430,207682,176040,16
3,compute-independent,hazard-only,16,1048576,8,1024,1024,1260,3840,5350,207891,176240,16
4,compute-independent,hazard-only,16,1048576,8,1024,1024,1210,3770,5260,207381,176320,16
5,compute-independent,hazard-only,16,1048576,8,1024,1024,1360,3700,5230,207131,176240,16
6,compute-independent,hazard-only,16,1048576,8,1024,1024,1230,3830,5720,208121,176240,16
7,compute-independent,hazard-only,16,1048576,8,1024,1024,1240,3790,5200,207441,175960,16
8,compute-independent,hazard-only,16,1048576,8,1024,1024,1240,3720,5600,207952,176280,16
9,compute-independent,hazard-only,16,1048576,8,1024,1024,1190,3660,5050,207411,176160,16
10,compute-independent,hazard-only,16,1048576,8,1024,1024,1230,3810,5250,208191,176400,16
11,compute-independent,hazard-only,16,1048576,8,1024,1024,1260,3750,5580,206671,175160,16
12,compute-independent,hazard-only,16,1048576,8,1024,1024,1460,3800,5170,193051,162560,16
13,compute-independent,hazard-only,16,1048576,8,1024,1024,1220,3740,5320,193451,162280,16
14,compute-independent,hazard-only,16,1048576,8,1024,1024,1220,3840,5390,192511,162360,16
15,compute-independent,hazard-only,16,1048576,8,1024,1024,1240,3780,5140,193181,162600,16
16,compute-independent,hazard-only,16,1048576,8,1024,1024,1260,3750,5640,192141,161640,16
17,compute-independent,hazard-only,16,1048576,8,1024,1024,1190,3810,5260,184421,154720,16
18,compute-independent,hazard-only,16,1048576,8,1024,1024,1350,3890,5250,184581,154520,16
19,compute-independent,hazard-only,16,1048576,8,1024,1024,1250,3830,5220,183881,154640,16
20,compute-independent,hazard-only,16,1048576,8,1024,1024,1220,3910,5390,184261,154520,16
21,compute-independent,hazard-only,16,1048576,8,1024,1024,1230,3800,5770,183541,153800,16
22,compute-independent,hazard-only,16,1048576,8,1024,1024,1250,3850,5520,174211,144640,16
23,compute-independent,hazard-only,16,1048576,8,1024,1024,1190,3790,5450,173571,144400,16
24,compute-independent,hazard-only,16,1048576,8,1024,1024,1220,3850,5430,173561,144400,16
25,compute-independent,hazard-only,16,1048576,8,1024,1024,1270,3840,5430,173591,144360,16
26,compute-independent,hazard-only,16,1048576,8,1024,1024,1210,3910,5560,173921,144720,16
27,compute-independent,hazard-only,16,1048576,8,1024,1024,1290,3830,5760,161941,135320,16
28,compute-independent,hazard-only,16,1048576,8,1024,1024,1220,3780,5420,162081,133840,16
29,compute-independent,hazard-only,16,1048576,8,1024,1024,1240,3830,5400,161391,133880,16
# validation_hash,fnv1a64:f0047a40f9cd8b25
