# collection_id,20260725T193736Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Radeon RX 7900 XT (RADV NAVI31)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,890,12100,4320,405102,377520,16
1,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1040,12430,4440,404813,377240,16
2,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1090,12070,4590,404562,377320,16
3,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1000,12320,4430,395422,368720,16
4,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,950,12090,4700,395572,368640,16
5,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1020,12240,4400,395222,368360,16
6,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1010,12040,4620,384622,357920,16
7,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1000,12260,4370,368612,343120,16
8,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,870,12140,4470,367562,342920,16
9,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1020,12270,4470,367502,342240,16
10,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,850,12171,4520,356711,332440,16
11,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1310,12211,4120,356451,332280,16
12,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,850,11970,4250,356592,332520,16
13,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1020,12280,4180,424402,328160,16
14,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,860,11951,4210,351491,328080,16
15,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1010,12210,4180,351522,328200,16
16,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,860,12020,4400,348842,325800,16
17,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1000,12300,4340,348782,325840,16
18,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,840,12000,4420,348672,325840,16
19,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1010,12270,4310,343742,321520,16
20,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,860,12040,4540,344202,321520,16
21,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1030,12260,4950,400992,320000,16
22,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,950,12000,4360,342152,320000,16
23,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1020,12240,4650,341922,319800,16
24,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,880,11970,4390,270161,248080,16
25,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1020,12210,4490,258752,237160,16
26,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,850,12060,4520,249301,227840,16
27,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1000,12180,4480,258342,236680,16
28,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,850,12080,4440,277671,199640,16
29,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1010,12240,4500,220871,199760,16
# validation_hash,fnv1a64:de1814328067f325
