# collection_id,20260725T193736Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Radeon RX 7900 XT (RADV NAVI31)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-independent,automatic,16,1048576,8,1024,1024,880,18650,4420,471603,438800,16
1,graphics-independent,automatic,16,1048576,8,1024,1024,960,18880,4460,469872,436960,16
2,graphics-independent,automatic,16,1048576,8,1024,1024,860,18690,4390,432213,400840,16
3,graphics-independent,automatic,16,1048576,8,1024,1024,850,18630,4350,431552,400320,16
4,graphics-independent,automatic,16,1048576,8,1024,1024,850,18800,4660,406772,378320,16
5,graphics-independent,automatic,16,1048576,8,1024,1024,860,18760,5400,407052,377720,16
6,graphics-independent,automatic,16,1048576,8,1024,1024,870,18761,4400,399862,369200,16
7,graphics-independent,automatic,16,1048576,8,1024,1024,850,18710,4400,392992,363200,16
8,graphics-independent,automatic,16,1048576,8,1024,1024,920,18610,4330,392952,363040,16
9,graphics-independent,automatic,16,1048576,8,1024,1024,850,18650,4660,377512,347680,16
10,graphics-independent,automatic,16,1048576,8,1024,1024,880,18580,4390,369812,341040,16
11,graphics-independent,automatic,16,1048576,8,1024,1024,860,18550,4431,370182,340960,16
12,graphics-independent,automatic,16,1048576,8,1024,1024,840,18710,4750,364542,335480,16
13,graphics-independent,automatic,16,1048576,8,1024,1024,860,18650,4320,358312,329600,16
14,graphics-independent,automatic,16,1048576,8,1024,1024,1000,18550,4350,356371,329560,16
15,graphics-independent,automatic,16,1048576,8,1024,1024,860,18581,4310,357811,329160,16
16,graphics-independent,automatic,16,1048576,8,1024,1024,860,18720,4321,356591,327680,16
17,graphics-independent,automatic,16,1048576,8,1024,1024,860,18800,4500,356542,327600,16
18,graphics-independent,automatic,16,1048576,8,1024,1024,860,18670,4260,356122,326680,16
19,graphics-independent,automatic,16,1048576,8,1024,1024,850,18611,4250,353351,324080,16
20,graphics-independent,automatic,16,1048576,8,1024,1024,881,18670,4620,352991,324080,16
21,graphics-independent,automatic,16,1048576,8,1024,1024,850,18611,4810,349861,322680,16
22,graphics-independent,automatic,16,1048576,8,1024,1024,890,18580,4660,352042,322720,16
23,graphics-independent,automatic,16,1048576,8,1024,1024,860,18570,4730,351632,321840,16
24,graphics-independent,automatic,16,1048576,8,1024,1024,860,18650,4570,349042,319400,16
25,graphics-independent,automatic,16,1048576,8,1024,1024,850,18630,4930,348862,319440,16
26,graphics-independent,automatic,16,1048576,8,1024,1024,850,18610,4680,348932,319440,16
27,graphics-independent,automatic,16,1048576,8,1024,1024,850,18640,4580,345542,317600,16
28,graphics-independent,automatic,16,1048576,8,1024,1024,940,18580,4450,347402,317640,16
29,graphics-independent,automatic,16,1048576,8,1024,1024,860,18560,4760,348972,317240,16
# validation_hash,fnv1a64:161975f4e03e1a92
