# collection_id,20260725T193736Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Radeon RX 7900 XT (RADV NAVI31)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-independent,hazard-only,16,1048576,8,1024,1024,860,18710,4650,442252,411480,16
1,graphics-independent,hazard-only,16,1048576,8,1024,1024,850,18280,4430,434333,404480,16
2,graphics-independent,hazard-only,16,1048576,8,1024,1024,850,18230,4450,405752,376240,16
3,graphics-independent,hazard-only,16,1048576,8,1024,1024,870,18510,4400,405602,376120,16
4,graphics-independent,hazard-only,16,1048576,8,1024,1024,840,18520,4631,381251,354680,16
5,graphics-independent,hazard-only,16,1048576,8,1024,1024,1000,18451,4310,381772,353160,16
6,graphics-independent,hazard-only,16,1048576,8,1024,1024,830,18530,4590,376632,347920,16
7,graphics-independent,hazard-only,16,1048576,8,1024,1024,840,18590,4800,367302,339320,16
8,graphics-independent,hazard-only,16,1048576,8,1024,1024,840,18350,4410,367222,339240,16
9,graphics-independent,hazard-only,16,1048576,8,1024,1024,830,18450,4320,356242,330640,16
10,graphics-independent,hazard-only,16,1048576,8,1024,1024,840,18570,4640,357352,329680,16
11,graphics-independent,hazard-only,16,1048576,8,1024,1024,850,18240,8780,360452,328640,16
12,graphics-independent,hazard-only,16,1048576,8,1024,1024,870,18360,4210,351872,324920,16
13,graphics-independent,hazard-only,16,1048576,8,1024,1024,840,18420,4530,352202,324920,16
14,graphics-independent,hazard-only,16,1048576,8,1024,1024,870,18370,4280,352412,324640,16
15,graphics-independent,hazard-only,16,1048576,8,1024,1024,840,18360,4390,350742,323400,16
16,graphics-independent,hazard-only,16,1048576,8,1024,1024,840,18390,4380,350392,323360,16
17,graphics-independent,hazard-only,16,1048576,8,1024,1024,850,18470,4290,350872,322600,16
18,graphics-independent,hazard-only,16,1048576,8,1024,1024,830,18320,4300,347442,319800,16
19,graphics-independent,hazard-only,16,1048576,8,1024,1024,840,18620,4340,347371,319760,16
20,graphics-independent,hazard-only,16,1048576,8,1024,1024,860,18331,4210,347481,319640,16
21,graphics-independent,hazard-only,16,1048576,8,1024,1024,990,18640,4660,346582,318880,16
22,graphics-independent,hazard-only,16,1048576,8,1024,1024,860,18470,4520,346552,318720,16
23,graphics-independent,hazard-only,16,1048576,8,1024,1024,840,18500,4420,342262,315800,16
24,graphics-independent,hazard-only,16,1048576,8,1024,1024,860,18190,4370,343812,315640,16
25,graphics-independent,hazard-only,16,1048576,8,1024,1024,1120,18200,4740,343912,315520,16
26,graphics-independent,hazard-only,16,1048576,8,1024,1024,850,18570,4560,342752,314680,16
27,graphics-independent,hazard-only,16,1048576,8,1024,1024,850,18560,4510,342972,314720,16
28,graphics-independent,hazard-only,16,1048576,8,1024,1024,840,18940,4760,272211,251360,16
29,graphics-independent,hazard-only,16,1048576,8,1024,1024,850,18310,4540,226252,205440,16
# validation_hash,fnv1a64:161975f4e03e1a92
