# collection_id,20260725T193736Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Radeon RX 7900 XT (RADV NAVI31)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,mixed-chain,explicit-all,16,1048576,8,1024,1024,1130,8850,4800,317912,290800,16
1,mixed-chain,explicit-all,16,1048576,8,1024,1024,1030,9000,4510,318082,290720,16
2,mixed-chain,explicit-all,16,1048576,8,1024,1024,1060,8890,4250,316902,290400,16
3,mixed-chain,explicit-all,16,1048576,8,1024,1024,1250,8970,4590,316751,289600,16
4,mixed-chain,explicit-all,16,1048576,8,1024,1024,1060,8920,4851,315741,288160,16
5,mixed-chain,explicit-all,16,1048576,8,1024,1024,1030,8810,4420,316272,288760,16
6,mixed-chain,explicit-all,16,1048576,8,1024,1024,1010,8990,4400,315322,288520,16
7,mixed-chain,explicit-all,16,1048576,8,1024,1024,1040,8940,4450,357862,259560,16
8,mixed-chain,explicit-all,16,1048576,8,1024,1024,1070,8910,4260,284301,259640,16
9,mixed-chain,explicit-all,16,1048576,8,1024,1024,1020,8850,4560,284732,259640,16
10,mixed-chain,explicit-all,16,1048576,8,1024,1024,1030,8940,4350,271571,246560,16
11,mixed-chain,explicit-all,16,1048576,8,1024,1024,1030,8960,4790,266681,242200,16
12,mixed-chain,explicit-all,16,1048576,8,1024,1024,1060,8841,4360,266591,242160,16
13,mixed-chain,explicit-all,16,1048576,8,1024,1024,1020,9100,4700,265262,241120,16
14,mixed-chain,explicit-all,16,1048576,8,1024,1024,1050,9010,4860,256131,232280,16
15,mixed-chain,explicit-all,16,1048576,8,1024,1024,1060,8960,4530,255401,232040,16
16,mixed-chain,explicit-all,16,1048576,8,1024,1024,1030,8941,4310,255771,232000,16
17,mixed-chain,explicit-all,16,1048576,8,1024,1024,1030,9030,4360,250601,227200,16
18,mixed-chain,explicit-all,16,1048576,8,1024,1024,1030,8870,4240,245132,221880,16
19,mixed-chain,explicit-all,16,1048576,8,1024,1024,1040,9010,4330,244941,221760,16
20,mixed-chain,explicit-all,16,1048576,8,1024,1024,1040,8760,4920,244921,221880,16
21,mixed-chain,explicit-all,16,1048576,8,1024,1024,1030,8970,4770,234891,211840,16
22,mixed-chain,explicit-all,16,1048576,8,1024,1024,1050,8840,4540,229752,207360,16
23,mixed-chain,explicit-all,16,1048576,8,1024,1024,1030,8890,4540,229821,207520,16
24,mixed-chain,explicit-all,16,1048576,8,1024,1024,1030,8840,4670,229891,207560,16
25,mixed-chain,explicit-all,16,1048576,8,1024,1024,1020,8970,4650,225432,204720,16
26,mixed-chain,explicit-all,16,1048576,8,1024,1024,1040,8930,4490,224371,202360,16
27,mixed-chain,explicit-all,16,1048576,8,1024,1024,1050,8920,4640,224451,202360,16
28,mixed-chain,explicit-all,16,1048576,8,1024,1024,1040,8840,4430,224771,202640,16
29,mixed-chain,explicit-all,16,1048576,8,1024,1024,1030,8830,4681,219881,198160,16
# validation_hash,fnv1a64:d723cf861be8a15e
