# collection_id,20260725T193736Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Radeon RX 7900 XT (RADV NAVI31)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1030,11590,4860,283662,253040,16
1,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1000,11840,4600,283131,252320,16
2,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1140,11580,4530,283872,252640,16
3,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1010,11770,4730,283631,252880,16
4,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1090,11690,4540,283202,252560,16
5,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1010,11820,4710,273351,242680,16
6,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1000,11730,4680,261962,232080,16
7,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1020,11680,4690,261911,232360,16
8,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1000,11700,4850,261262,231720,16
9,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1010,11550,4810,248881,221840,16
10,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1020,11750,4720,250382,221600,16
11,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1290,11550,4710,250551,221520,16
12,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1170,11740,4620,249161,220040,16
13,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1020,11680,4690,236622,208120,16
14,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1020,11670,4820,236271,208040,16
15,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1010,11820,4530,236511,208240,16
16,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1000,11700,4580,233521,205440,16
17,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1000,11810,4551,223721,195960,16
18,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1160,11770,4770,223481,195760,16
19,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1020,11910,4780,223611,195800,16
20,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1010,11870,5200,223302,195920,16
21,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1020,11600,4970,219001,191520,16
22,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,990,11790,4670,218621,190960,16
23,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1020,11710,4820,218971,191480,16
24,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1010,11850,4730,218892,191400,16
25,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1000,11670,4660,206081,180760,16
26,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1000,13820,4540,207551,181200,16
27,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1100,12040,7480,207861,181120,16
28,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1000,11830,4780,207611,180760,16
29,mixed-independent,hazard-only-scoped,16,1048576,8,1024,1024,1090,11860,4750,204991,179640,16
# validation_hash,fnv1a64:bed1d5e4700d559c
