# collection_id,20260725T193736Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,wgpu
# wgpu_version,30.0.0
# backend,vulkan
# device_name,"AMD Radeon RX 7900 XT (RADV NAVI31)"
# vendor_id,0x1002
# device_id,0x744c
# device_type,DiscreteGpu
# device_pci_bus_id,"0000:03:00.0"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
# timestamp_period_ns,10
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-chain,tracked,16,1048576,8,1024,1024,130,3020,47330,285792,237640,16
1,compute-chain,tracked,16,1048576,8,1024,1024,140,3050,42190,286731,237520,16
2,compute-chain,tracked,16,1048576,8,1024,1024,130,2990,42131,278621,237440,16
3,compute-chain,tracked,16,1048576,8,1024,1024,150,2990,41820,278352,236560,16
4,compute-chain,tracked,16,1048576,8,1024,1024,150,3010,42400,277901,236440,16
5,compute-chain,tracked,16,1048576,8,1024,1024,130,3010,42360,278392,236920,16
6,compute-chain,tracked,16,1048576,8,1024,1024,140,2980,41670,265921,226240,16
7,compute-chain,tracked,16,1048576,8,1024,1024,140,2980,41601,258561,218720,16
8,compute-chain,tracked,16,1048576,8,1024,1024,140,2970,41740,258482,218480,16
9,compute-chain,tracked,16,1048576,8,1024,1024,140,2960,42000,258211,218520,16
10,compute-chain,tracked,16,1048576,8,1024,1024,130,2981,42820,254471,216120,16
11,compute-chain,tracked,16,1048576,8,1024,1024,130,2970,42120,251172,212160,16
12,compute-chain,tracked,16,1048576,8,1024,1024,150,2970,41860,251541,212000,16
13,compute-chain,tracked,16,1048576,8,1024,1024,130,2950,43060,251992,212320,16
14,compute-chain,tracked,16,1048576,8,1024,1024,150,2990,42620,239731,198840,16
15,compute-chain,tracked,16,1048576,8,1024,1024,130,3000,42380,244881,198960,16
16,compute-chain,tracked,16,1048576,8,1024,1024,140,2991,42820,239831,198720,16
17,compute-chain,tracked,16,1048576,8,1024,1024,150,2990,43160,243772,198800,16
18,compute-chain,tracked,16,1048576,8,1024,1024,140,2980,42380,287581,194640,16
19,compute-chain,tracked,16,1048576,8,1024,1024,130,2990,42851,242181,194720,16
20,compute-chain,tracked,16,1048576,8,1024,1024,130,3050,42630,243041,194840,16
21,compute-chain,tracked,16,1048576,8,1024,1024,130,3101,42780,237241,189960,16
22,compute-chain,tracked,16,1048576,8,1024,1024,140,3000,42550,236231,185440,16
23,compute-chain,tracked,16,1048576,8,1024,1024,150,3750,49781,236841,185680,16
24,compute-chain,tracked,16,1048576,8,1024,1024,180,4040,49800,224871,185840,16
25,compute-chain,tracked,16,1048576,8,1024,1024,130,3020,43860,224622,183640,16
26,compute-chain,tracked,16,1048576,8,1024,1024,150,3400,47950,227121,183680,16
27,compute-chain,tracked,16,1048576,8,1024,1024,150,3540,45670,228702,183840,16
28,compute-chain,tracked,16,1048576,8,1024,1024,180,4090,47360,223781,181040,16
29,compute-chain,tracked,16,1048576,8,1024,1024,160,3620,44470,220112,176240,16
# validation_hash,fnv1a64:1051691fc9daa325
