# collection_id,20260725T193736Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,wgpu
# wgpu_version,30.0.0
# backend,vulkan
# device_name,"AMD Radeon RX 7900 XT (RADV NAVI31)"
# vendor_id,0x1002
# device_id,0x744c
# device_type,DiscreteGpu
# device_pci_bus_id,"0000:03:00.0"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
# timestamp_period_ns,10
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-independent,tracked,16,1048576,8,1024,1024,120,2990,43101,214511,168000,16
1,compute-independent,tracked,16,1048576,8,1024,1024,140,3070,43230,219181,168200,16
2,compute-independent,tracked,16,1048576,8,1024,1024,130,3000,42980,209271,156400,16
3,compute-independent,tracked,16,1048576,8,1024,1024,140,3020,42921,209931,156520,16
4,compute-independent,tracked,16,1048576,8,1024,1024,140,3010,42470,201341,156280,16
5,compute-independent,tracked,16,1048576,8,1024,1024,130,3020,43070,209361,156760,16
6,compute-independent,tracked,16,1048576,8,1024,1024,140,3000,42591,206331,153400,16
7,compute-independent,tracked,16,1048576,8,1024,1024,130,3040,42610,198211,153240,16
8,compute-independent,tracked,16,1048576,8,1024,1024,140,3010,42920,206921,153520,16
9,compute-independent,tracked,16,1048576,8,1024,1024,140,3041,42510,205951,152840,16
10,compute-independent,tracked,16,1048576,8,1024,1024,130,2980,43210,196161,145160,16
11,compute-independent,tracked,16,1048576,8,1024,1024,130,3010,42740,188851,145080,16
12,compute-independent,tracked,16,1048576,8,1024,1024,140,3030,43010,197211,145040,16
13,compute-independent,tracked,16,1048576,8,1024,1024,130,3000,42551,188511,145200,16
14,compute-independent,tracked,16,1048576,8,1024,1024,130,3010,42580,188771,145080,16
15,compute-independent,tracked,16,1048576,8,1024,1024,150,3020,42360,181941,140040,16
16,compute-independent,tracked,16,1048576,8,1024,1024,140,2970,42750,183251,140280,16
17,compute-independent,tracked,16,1048576,8,1024,1024,140,3080,42580,192091,140160,16
18,compute-independent,tracked,16,1048576,8,1024,1024,140,2981,42740,191761,140120,16
19,compute-independent,tracked,16,1048576,8,1024,1024,150,3010,42790,183101,140320,16
20,compute-independent,tracked,16,1048576,8,1024,1024,140,3080,42510,255602,138400,16
21,compute-independent,tracked,16,1048576,8,1024,1024,130,3040,43910,189451,138520,16
22,compute-independent,tracked,16,1048576,8,1024,1024,140,3010,44010,188931,138480,16
23,compute-independent,tracked,16,1048576,8,1024,1024,130,3060,43970,188911,138520,16
24,compute-independent,tracked,16,1048576,8,1024,1024,140,3000,44021,232501,132320,16
25,compute-independent,tracked,16,1048576,8,1024,1024,140,3030,83800,183861,132440,16
26,compute-independent,tracked,16,1048576,8,1024,1024,390,5090,50750,180741,132320,16
27,compute-independent,tracked,16,1048576,8,1024,1024,150,3110,45411,180830,132440,16
28,compute-independent,tracked,16,1048576,8,1024,1024,150,3000,43841,186281,129840,16
29,compute-independent,tracked,16,1048576,8,1024,1024,150,3040,43630,180441,130120,16
# validation_hash,fnv1a64:f0047a40f9cd8b25
