# collection_id,20260725T193736Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,wgpu
# wgpu_version,30.0.0
# backend,vulkan
# device_name,"AMD Radeon RX 7900 XT (RADV NAVI31)"
# vendor_id,0x1002
# device_id,0x744c
# device_type,DiscreteGpu
# device_pci_bus_id,"0000:03:00.0"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
# timestamp_period_ns,10
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-independent,tracked,16,1048576,8,1024,1024,140,4830,67081,478492,428920,16
1,graphics-independent,tracked,16,1048576,8,1024,1024,130,4830,66670,459923,411560,16
2,graphics-independent,tracked,16,1048576,8,1024,1024,140,4880,66590,452893,405000,16
3,graphics-independent,tracked,16,1048576,8,1024,1024,140,4870,66660,427542,380920,16
4,graphics-independent,tracked,16,1048576,8,1024,1024,140,4901,66380,433302,380480,16
5,graphics-independent,tracked,16,1048576,8,1024,1024,150,4800,66500,418923,372160,16
6,graphics-independent,tracked,16,1048576,8,1024,1024,140,4870,67310,413672,367560,16
7,graphics-independent,tracked,16,1048576,8,1024,1024,150,4790,66780,394432,349280,16
8,graphics-independent,tracked,16,1048576,8,1024,1024,150,4880,66481,395062,350000,16
9,graphics-independent,tracked,16,1048576,8,1024,1024,140,4760,66770,387032,342520,16
10,graphics-independent,tracked,16,1048576,8,1024,1024,150,4921,66630,387042,342440,16
11,graphics-independent,tracked,16,1048576,8,1024,1024,160,4840,66370,367842,324040,16
12,graphics-independent,tracked,16,1048576,8,1024,1024,140,4750,66320,368142,324080,16
13,graphics-independent,tracked,16,1048576,8,1024,1024,140,4890,66331,363501,320920,16
14,graphics-independent,tracked,16,1048576,8,1024,1024,140,4831,66550,362662,319240,16
15,graphics-independent,tracked,16,1048576,8,1024,1024,150,4870,67270,357402,313840,16
16,graphics-independent,tracked,16,1048576,8,1024,1024,150,4830,66341,347781,305000,16
17,graphics-independent,tracked,16,1048576,8,1024,1024,140,4910,67331,347882,304880,16
18,graphics-independent,tracked,16,1048576,8,1024,1024,140,4890,66680,338882,296360,16
19,graphics-independent,tracked,16,1048576,8,1024,1024,150,7650,67510,339142,296640,16
20,graphics-independent,tracked,16,1048576,8,1024,1024,170,4860,66640,338852,296240,16
21,graphics-independent,tracked,16,1048576,8,1024,1024,140,4790,66400,336892,293880,16
22,graphics-independent,tracked,16,1048576,8,1024,1024,150,5060,67270,336442,294040,16
23,graphics-independent,tracked,16,1048576,8,1024,1024,150,4760,66421,322951,287200,16
24,graphics-independent,tracked,16,1048576,8,1024,1024,150,5210,67191,318401,282880,16
25,graphics-independent,tracked,16,1048576,8,1024,1024,160,5040,66641,318561,282800,16
26,graphics-independent,tracked,16,1048576,8,1024,1024,160,5070,66121,315831,280520,16
27,graphics-independent,tracked,16,1048576,8,1024,1024,170,5130,66791,312151,277080,16
28,graphics-independent,tracked,16,1048576,8,1024,1024,150,5100,66381,319261,276960,16
29,graphics-independent,tracked,16,1048576,8,1024,1024,160,5410,70481,361662,275760,16
# validation_hash,fnv1a64:161975f4e03e1a92
