# collection_id,20260725T193736Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Radeon RX 7900 XT (RADV NAVI31)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-chain,explicit-all,16,1048576,8,1024,1024,1030,12310,4460,405052,377800,16
1,graphics-chain,explicit-all,16,1048576,8,1024,1024,880,12250,4470,405892,378280,16
2,graphics-chain,explicit-all,16,1048576,8,1024,1024,850,12201,4390,405422,378120,16
3,graphics-chain,explicit-all,16,1048576,8,1024,1024,860,12250,4380,405552,378200,16
4,graphics-chain,explicit-all,16,1048576,8,1024,1024,910,12070,4280,405622,378160,16
5,graphics-chain,explicit-all,16,1048576,8,1024,1024,1030,12060,4240,405312,378000,16
6,graphics-chain,explicit-all,16,1048576,8,1024,1024,850,12250,4170,395602,369280,16
7,graphics-chain,explicit-all,16,1048576,8,1024,1024,840,12240,4460,373342,347680,16
8,graphics-chain,explicit-all,16,1048576,8,1024,1024,860,12071,4350,373322,347440,16
9,graphics-chain,explicit-all,16,1048576,8,1024,1024,860,12190,4180,363561,339040,16
10,graphics-chain,explicit-all,16,1048576,8,1024,1024,890,12120,4350,359151,334640,16
11,graphics-chain,explicit-all,16,1048576,8,1024,1024,850,12170,4420,359062,334560,16
12,graphics-chain,explicit-all,16,1048576,8,1024,1024,860,12120,4570,355722,331680,16
13,graphics-chain,explicit-all,16,1048576,8,1024,1024,840,12330,4380,355612,331560,16
14,graphics-chain,explicit-all,16,1048576,8,1024,1024,860,12200,4270,355392,331440,16
15,graphics-chain,explicit-all,16,1048576,8,1024,1024,860,12150,4400,349612,326600,16
16,graphics-chain,explicit-all,16,1048576,8,1024,1024,860,12140,4370,349772,326560,16
17,graphics-chain,explicit-all,16,1048576,8,1024,1024,850,12310,4230,349812,326680,16
18,graphics-chain,explicit-all,16,1048576,8,1024,1024,860,12250,4530,347552,324440,16
19,graphics-chain,explicit-all,16,1048576,8,1024,1024,840,12080,4270,347792,324400,16
20,graphics-chain,explicit-all,16,1048576,8,1024,1024,860,12130,4230,344152,321640,16
21,graphics-chain,explicit-all,16,1048576,8,1024,1024,860,12160,4640,344061,321760,16
22,graphics-chain,explicit-all,16,1048576,8,1024,1024,850,12300,4180,316542,295040,16
23,graphics-chain,explicit-all,16,1048576,8,1024,1024,850,12090,4390,277702,255880,16
24,graphics-chain,explicit-all,16,1048576,8,1024,1024,850,11980,4390,287022,265160,16
25,graphics-chain,explicit-all,16,1048576,8,1024,1024,850,12130,4370,313741,291760,16
26,graphics-chain,explicit-all,16,1048576,8,1024,1024,850,12090,4380,247752,226040,16
27,graphics-chain,explicit-all,16,1048576,8,1024,1024,840,12410,4430,247811,226160,16
28,graphics-chain,explicit-all,16,1048576,8,1024,1024,850,12200,4450,248161,226400,16
29,graphics-chain,explicit-all,16,1048576,8,1024,1024,850,12260,4280,244692,223160,16
# validation_hash,fnv1a64:de1814328067f325
