# collection_id,20260725T193736Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Radeon RX 7900 XT (RADV NAVI31)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-chain,hazard-only,16,1048576,8,1024,1024,860,12110,4230,403042,377760,16
1,graphics-chain,hazard-only,16,1048576,8,1024,1024,850,12180,4501,402392,377520,16
2,graphics-chain,hazard-only,16,1048576,8,1024,1024,950,12180,4540,403422,378080,16
3,graphics-chain,hazard-only,16,1048576,8,1024,1024,840,12140,4360,402202,376600,16
4,graphics-chain,hazard-only,16,1048576,8,1024,1024,860,12140,4320,400462,375280,16
5,graphics-chain,hazard-only,16,1048576,8,1024,1024,850,12200,4470,400842,375360,16
6,graphics-chain,hazard-only,16,1048576,8,1024,1024,851,12110,4630,376811,353120,16
7,graphics-chain,hazard-only,16,1048576,8,1024,1024,840,12000,4340,366131,342600,16
8,graphics-chain,hazard-only,16,1048576,8,1024,1024,840,12091,4470,366101,342560,16
9,graphics-chain,hazard-only,16,1048576,8,1024,1024,840,12300,4370,363862,340600,16
10,graphics-chain,hazard-only,16,1048576,8,1024,1024,840,12070,4540,361022,333440,16
11,graphics-chain,hazard-only,16,1048576,8,1024,1024,850,12160,4170,356062,333480,16
12,graphics-chain,hazard-only,16,1048576,8,1024,1024,960,11990,4390,354661,333280,16
13,graphics-chain,hazard-only,16,1048576,8,1024,1024,840,12191,4420,352081,330120,16
14,graphics-chain,hazard-only,16,1048576,8,1024,1024,990,12000,4230,352232,330040,16
15,graphics-chain,hazard-only,16,1048576,8,1024,1024,850,12010,4340,347902,326200,16
16,graphics-chain,hazard-only,16,1048576,8,1024,1024,860,12050,4240,348312,326520,16
17,graphics-chain,hazard-only,16,1048576,8,1024,1024,840,12190,4300,348322,326440,16
18,graphics-chain,hazard-only,16,1048576,8,1024,1024,860,12210,4420,342562,322000,16
19,graphics-chain,hazard-only,16,1048576,8,1024,1024,830,12270,4120,342212,321960,16
20,graphics-chain,hazard-only,16,1048576,8,1024,1024,850,12250,4290,343002,322000,16
21,graphics-chain,hazard-only,16,1048576,8,1024,1024,840,12100,4710,341302,320440,16
22,graphics-chain,hazard-only,16,1048576,8,1024,1024,840,12020,4130,341381,320600,16
23,graphics-chain,hazard-only,16,1048576,8,1024,1024,830,12170,4590,311412,225600,16
24,graphics-chain,hazard-only,16,1048576,8,1024,1024,1020,11880,4390,246041,225520,16
25,graphics-chain,hazard-only,16,1048576,8,1024,1024,860,14420,4070,246452,225760,16
26,graphics-chain,hazard-only,16,1048576,8,1024,1024,860,12120,4400,244471,224040,16
27,graphics-chain,hazard-only,16,1048576,8,1024,1024,840,11890,4360,220622,200520,16
28,graphics-chain,hazard-only,16,1048576,8,1024,1024,870,12190,4350,221001,200440,16
29,graphics-chain,hazard-only,16,1048576,8,1024,1024,840,13540,4130,222291,200600,16
# validation_hash,fnv1a64:de1814328067f325
