# collection_id,20260725T193736Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Radeon RX 7900 XT (RADV NAVI31)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1000,18880,4710,464973,432560,16
1,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1010,18910,4220,461702,429920,16
2,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1270,18920,4640,439843,407920,16
3,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,980,18970,4210,428092,397760,16
4,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1120,18900,4260,415222,384480,16
5,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,960,18900,4480,397872,367840,16
6,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,960,18951,4290,396112,366320,16
7,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,980,18890,9100,377262,348840,16
8,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,950,20980,4440,378652,349360,16
9,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1070,18900,4240,372682,343480,16
10,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,980,18920,4440,368922,339880,16
11,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,970,18910,4500,366942,337880,16
12,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,950,18920,4600,355992,327560,16
13,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,970,18900,4630,356842,327800,16
14,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,960,18970,4640,355902,327040,16
15,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,980,18980,4260,353792,324800,16
16,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,960,19000,4340,353562,324920,16
17,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1200,18910,4160,400802,323280,16
18,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,960,18990,4030,351892,323280,16
19,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,960,18970,4400,352072,322560,16
20,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,960,19080,4590,349422,319800,16
21,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,960,18840,4550,349062,319760,16
22,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,960,18930,4210,347902,319760,16
23,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,960,18990,4320,348672,319000,16
24,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,960,18900,4730,348312,318840,16
25,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,990,18930,4630,347002,317120,16
26,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,970,18900,4360,347272,317080,16
27,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,1080,18920,4390,346932,316720,16
28,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,960,18920,4670,344821,315280,16
29,graphics-independent,automatic-scoped,16,1048576,8,1024,1024,980,18950,4490,344752,315160,16
# validation_hash,fnv1a64:161975f4e03e1a92
