# collection_id,20260725T193736Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Radeon RX 7900 XT (RADV NAVI31)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,1180,18281,4230,440532,410520,16
1,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,1040,18270,4400,414722,384920,16
2,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,900,18190,4401,414742,384800,16
3,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,1030,18380,4470,396482,369240,16
4,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,860,18030,4430,395742,366680,16
5,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,1060,18240,4290,385652,356720,16
6,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,1120,18080,4290,373912,345560,16
7,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,990,18250,4320,373212,345520,16
8,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,870,18130,4780,354772,329560,16
9,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,1210,18340,4290,356952,329480,16
10,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,990,18090,4340,356612,328680,16
11,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,1230,18630,4660,353202,326040,16
12,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,920,18040,4470,352322,326000,16
13,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,1230,18300,4430,352902,325480,16
14,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,1040,18140,4310,350742,324040,16
15,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,990,18300,4530,351342,323680,16
16,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,1070,18060,4340,347992,320440,16
17,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,980,18290,4260,348362,320440,16
18,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,850,18090,4540,348322,320200,16
19,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,990,18340,4390,350132,319400,16
20,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,860,18200,4360,347392,319440,16
21,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,1230,18300,4840,345832,318560,16
22,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,860,18110,4460,344212,316080,16
23,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,1130,20620,4470,343632,316280,16
24,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,860,18080,4550,342592,314560,16
25,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,1000,18300,4860,342981,314520,16
26,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,890,18111,4580,308051,287240,16
27,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,980,18360,4880,224681,204120,16
28,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,850,17960,4801,224741,204200,16
29,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,970,18440,4330,224441,204000,16
# validation_hash,fnv1a64:161975f4e03e1a92
