# collection_id,20260725T193736Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Radeon RX 7900 XT (RADV NAVI31)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,mixed-chain,hazard-only,16,1048576,8,1024,1024,1130,8730,4400,314032,290600,16
1,mixed-chain,hazard-only,16,1048576,8,1024,1024,1050,8790,4490,314512,290520,16
2,mixed-chain,hazard-only,16,1048576,8,1024,1024,1070,8640,4360,314571,290640,16
3,mixed-chain,hazard-only,16,1048576,8,1024,1024,1070,8740,4240,314392,290800,16
4,mixed-chain,hazard-only,16,1048576,8,1024,1024,1060,8690,4300,312362,288520,16
5,mixed-chain,hazard-only,16,1048576,8,1024,1024,1100,8670,4950,304382,281080,16
6,mixed-chain,hazard-only,16,1048576,8,1024,1024,1050,8650,4340,304871,281360,16
7,mixed-chain,hazard-only,16,1048576,8,1024,1024,1060,8670,4280,305142,281320,16
8,mixed-chain,hazard-only,16,1048576,8,1024,1024,1060,8630,4200,297591,274560,16
9,mixed-chain,hazard-only,16,1048576,8,1024,1024,1090,8660,4440,282392,260680,16
10,mixed-chain,hazard-only,16,1048576,8,1024,1024,1060,8680,4330,283111,260840,16
11,mixed-chain,hazard-only,16,1048576,8,1024,1024,1070,8700,4621,282781,260680,16
12,mixed-chain,hazard-only,16,1048576,8,1024,1024,1090,8590,4290,257761,239240,16
13,mixed-chain,hazard-only,16,1048576,8,1024,1024,1060,8780,4350,260172,239280,16
14,mixed-chain,hazard-only,16,1048576,8,1024,1024,1050,8720,4270,260221,239200,16
15,mixed-chain,hazard-only,16,1048576,8,1024,1024,1060,8700,4310,255872,234800,16
16,mixed-chain,hazard-only,16,1048576,8,1024,1024,1060,8660,4090,247271,227040,16
17,mixed-chain,hazard-only,16,1048576,8,1024,1024,1060,8690,4250,246722,226200,16
18,mixed-chain,hazard-only,16,1048576,8,1024,1024,1070,8810,4820,247041,226480,16
19,mixed-chain,hazard-only,16,1048576,8,1024,1024,1060,8700,4180,243731,223320,16
20,mixed-chain,hazard-only,16,1048576,8,1024,1024,1080,8640,4940,240002,219760,16
21,mixed-chain,hazard-only,16,1048576,8,1024,1024,1060,8610,4520,239951,219720,16
22,mixed-chain,hazard-only,16,1048576,8,1024,1024,1260,8730,4630,239881,219600,16
23,mixed-chain,hazard-only,16,1048576,8,1024,1024,1070,8640,4380,231411,211160,16
24,mixed-chain,hazard-only,16,1048576,8,1024,1024,1300,8770,4600,225912,206320,16
25,mixed-chain,hazard-only,16,1048576,8,1024,1024,1170,8730,4700,226161,206440,16
26,mixed-chain,hazard-only,16,1048576,8,1024,1024,1190,8700,4540,225891,206280,16
27,mixed-chain,hazard-only,16,1048576,8,1024,1024,1350,8770,4540,224272,204640,16
28,mixed-chain,hazard-only,16,1048576,8,1024,1024,1050,8750,4350,221321,201760,16
29,mixed-chain,hazard-only,16,1048576,8,1024,1024,1060,8670,4270,221191,201680,16
# validation_hash,fnv1a64:d723cf861be8a15e
