# collection_id,20260725T193736Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Radeon RX 7900 XT (RADV NAVI31)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,mixed-independent,automatic,16,1048576,8,1024,1024,850,12530,4430,347042,319440,16
1,mixed-independent,automatic,16,1048576,8,1024,1024,860,12530,4440,340772,312480,16
2,mixed-independent,automatic,16,1048576,8,1024,1024,850,12540,4500,336601,308800,16
3,mixed-independent,automatic,16,1048576,8,1024,1024,850,12450,4300,336671,308480,16
4,mixed-independent,automatic,16,1048576,8,1024,1024,860,12330,4431,318631,290400,16
5,mixed-independent,automatic,16,1048576,8,1024,1024,1060,12630,4560,311522,284720,16
6,mixed-independent,automatic,16,1048576,8,1024,1024,870,12420,4320,312271,285480,16
7,mixed-independent,automatic,16,1048576,8,1024,1024,850,12431,4330,293461,266760,16
8,mixed-independent,automatic,16,1048576,8,1024,1024,860,12320,4370,287202,261680,16
9,mixed-independent,automatic,16,1048576,8,1024,1024,840,12420,4400,287071,261760,16
10,mixed-independent,automatic,16,1048576,8,1024,1024,850,12360,4390,280412,255080,16
11,mixed-independent,automatic,16,1048576,8,1024,1024,850,12360,4560,273031,248000,16
12,mixed-independent,automatic,16,1048576,8,1024,1024,850,12340,4300,272502,247760,16
13,mixed-independent,automatic,16,1048576,8,1024,1024,840,12190,4510,272382,248080,16
14,mixed-independent,automatic,16,1048576,8,1024,1024,860,12300,4470,263801,239280,16
15,mixed-independent,automatic,16,1048576,8,1024,1024,840,12400,4270,264121,239840,16
16,mixed-independent,automatic,16,1048576,8,1024,1024,850,12480,4630,264022,239520,16
17,mixed-independent,automatic,16,1048576,8,1024,1024,930,12390,4260,256791,232400,16
18,mixed-independent,automatic,16,1048576,8,1024,1024,850,12300,4380,248962,225200,16
19,mixed-independent,automatic,16,1048576,8,1024,1024,860,12220,4520,248871,225200,16
20,mixed-independent,automatic,16,1048576,8,1024,1024,880,12480,4820,249192,225360,16
21,mixed-independent,automatic,16,1048576,8,1024,1024,1180,12450,4680,310811,219600,16
22,mixed-independent,automatic,16,1048576,8,1024,1024,850,12260,4250,243172,219720,16
23,mixed-independent,automatic,16,1048576,8,1024,1024,980,12330,4260,243401,219680,16
24,mixed-independent,automatic,16,1048576,8,1024,1024,860,12320,4790,241511,218640,16
25,mixed-independent,automatic,16,1048576,8,1024,1024,880,12380,4440,234652,211600,16
26,mixed-independent,automatic,16,1048576,8,1024,1024,850,12290,4420,234801,211800,16
27,mixed-independent,automatic,16,1048576,8,1024,1024,920,12500,4630,234701,211560,16
28,mixed-independent,automatic,16,1048576,8,1024,1024,860,12890,4090,231522,209120,16
29,mixed-independent,automatic,16,1048576,8,1024,1024,840,12430,4370,225151,202280,16
# validation_hash,fnv1a64:bed1d5e4700d559c
