# collection_id,20260725T193736Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Radeon RX 7900 XT (RADV NAVI31)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,mixed-independent,hazard-only,16,1048576,8,1024,1024,870,11430,4320,283161,253560,16
1,mixed-independent,hazard-only,16,1048576,8,1024,1024,850,11350,4350,283192,252640,16
2,mixed-independent,hazard-only,16,1048576,8,1024,1024,860,11360,4400,283062,252840,16
3,mixed-independent,hazard-only,16,1048576,8,1024,1024,1140,11300,4460,283341,252760,16
4,mixed-independent,hazard-only,16,1048576,8,1024,1024,860,11330,4420,282862,252760,16
5,mixed-independent,hazard-only,16,1048576,8,1024,1024,860,11480,4280,282651,252560,16
6,mixed-independent,hazard-only,16,1048576,8,1024,1024,860,11520,4330,282802,252720,16
7,mixed-independent,hazard-only,16,1048576,8,1024,1024,870,11400,4320,282911,252800,16
8,mixed-independent,hazard-only,16,1048576,8,1024,1024,960,11330,4620,278142,247400,16
9,mixed-independent,hazard-only,16,1048576,8,1024,1024,860,11330,4470,275841,245440,16
10,mixed-independent,hazard-only,16,1048576,8,1024,1024,860,11390,4560,276272,245880,16
11,mixed-independent,hazard-only,16,1048576,8,1024,1024,1150,11330,4620,271801,241560,16
12,mixed-independent,hazard-only,16,1048576,8,1024,1024,860,11320,4410,254511,225200,16
13,mixed-independent,hazard-only,16,1048576,8,1024,1024,870,11270,4620,254451,225240,16
14,mixed-independent,hazard-only,16,1048576,8,1024,1024,851,11370,4600,253531,225040,16
15,mixed-independent,hazard-only,16,1048576,8,1024,1024,1020,11360,4240,245521,218080,16
16,mixed-independent,hazard-only,16,1048576,8,1024,1024,850,11370,4360,241082,212680,16
17,mixed-independent,hazard-only,16,1048576,8,1024,1024,940,11330,4220,241131,212600,16
18,mixed-independent,hazard-only,16,1048576,8,1024,1024,860,11340,4710,244841,211800,16
19,mixed-independent,hazard-only,16,1048576,8,1024,1024,850,11300,4440,307312,206040,16
20,mixed-independent,hazard-only,16,1048576,8,1024,1024,860,11480,4680,233751,205680,16
21,mixed-independent,hazard-only,16,1048576,8,1024,1024,890,11301,4520,234341,206080,16
22,mixed-independent,hazard-only,16,1048576,8,1024,1024,870,11530,4360,234051,205960,16
23,mixed-independent,hazard-only,16,1048576,8,1024,1024,880,11490,4450,220421,193120,16
24,mixed-independent,hazard-only,16,1048576,8,1024,1024,840,11480,4470,220221,192960,16
25,mixed-independent,hazard-only,16,1048576,8,1024,1024,841,11360,4510,221071,193640,16
26,mixed-independent,hazard-only,16,1048576,8,1024,1024,860,11480,4430,221041,193400,16
27,mixed-independent,hazard-only,16,1048576,8,1024,1024,850,11300,4350,214221,188800,16
28,mixed-independent,hazard-only,16,1048576,8,1024,1024,840,11400,4410,216411,189360,16
29,mixed-independent,hazard-only,16,1048576,8,1024,1024,1070,11340,4390,216711,189600,16
# validation_hash,fnv1a64:bed1d5e4700d559c
