# collection_id,20260725T193736Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,wgpu
# wgpu_version,30.0.0
# backend,vulkan
# device_name,"AMD Radeon RX 7900 XT (RADV NAVI31)"
# vendor_id,0x1002
# device_id,0x744c
# device_type,DiscreteGpu
# device_pci_bus_id,"0000:03:00.0"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
# timestamp_period_ns,10
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-chain,tracked,16,1048576,8,1024,1024,150,4820,58450,423793,381880,16
1,graphics-chain,tracked,16,1048576,8,1024,1024,130,4910,57670,429902,382880,16
2,graphics-chain,tracked,16,1048576,8,1024,1024,140,4890,57731,424592,382840,16
3,graphics-chain,tracked,16,1048576,8,1024,1024,160,4810,57510,429262,382560,16
4,graphics-chain,tracked,16,1048576,8,1024,1024,140,4891,57850,431022,382560,16
5,graphics-chain,tracked,16,1048576,8,1024,1024,160,4950,58331,428592,381560,16
6,graphics-chain,tracked,16,1048576,8,1024,1024,140,4810,57380,454402,352840,16
7,graphics-chain,tracked,16,1048576,8,1024,1024,130,4930,58221,392092,352320,16
8,graphics-chain,tracked,16,1048576,8,1024,1024,140,4830,57630,462182,339200,16
9,graphics-chain,tracked,16,1048576,8,1024,1024,140,4860,57981,383752,339360,16
10,graphics-chain,tracked,16,1048576,8,1024,1024,140,4900,57620,382662,338600,16
11,graphics-chain,tracked,16,1048576,8,1024,1024,140,4760,57331,362331,318960,16
12,graphics-chain,tracked,16,1048576,8,1024,1024,130,4870,57331,362652,319040,16
13,graphics-chain,tracked,16,1048576,8,1024,1024,150,4870,57720,404832,310000,16
14,graphics-chain,tracked,16,1048576,8,1024,1024,130,4870,57920,352412,309480,16
15,graphics-chain,tracked,16,1048576,8,1024,1024,140,4820,57400,344472,301640,16
16,graphics-chain,tracked,16,1048576,8,1024,1024,140,4900,58050,336812,294920,16
17,graphics-chain,tracked,16,1048576,8,1024,1024,140,4890,58111,336172,294000,16
18,graphics-chain,tracked,16,1048576,8,1024,1024,130,4810,57540,331772,289880,16
19,graphics-chain,tracked,16,1048576,8,1024,1024,140,4730,58040,332402,290520,16
20,graphics-chain,tracked,16,1048576,8,1024,1024,130,4830,57200,326912,285440,16
21,graphics-chain,tracked,16,1048576,8,1024,1024,140,4750,57650,323072,281720,16
22,graphics-chain,tracked,16,1048576,8,1024,1024,140,4830,57360,322752,281400,16
23,graphics-chain,tracked,16,1048576,8,1024,1024,140,4830,57500,305651,267040,16
24,graphics-chain,tracked,16,1048576,8,1024,1024,140,4820,57781,308022,267400,16
25,graphics-chain,tracked,16,1048576,8,1024,1024,140,4890,57810,308122,267320,16
26,graphics-chain,tracked,16,1048576,8,1024,1024,140,4750,58210,303581,263240,16
27,graphics-chain,tracked,16,1048576,8,1024,1024,140,4860,57261,303981,263800,16
28,graphics-chain,tracked,16,1048576,8,1024,1024,130,4790,57841,302101,261720,16
29,graphics-chain,tracked,16,1048576,8,1024,1024,140,4780,62641,299931,259920,16
# validation_hash,fnv1a64:de1814328067f325
