# collection_id,20260725T193736Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Radeon RX 7900 XT (RADV NAVI31)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-chain,automatic,16,1048576,8,1024,1024,1010,4500,4190,274192,244680,16
1,compute-chain,automatic,16,1048576,8,1024,1024,1030,4590,4310,274361,244640,16
2,compute-chain,automatic,16,1048576,8,1024,1024,1020,4540,4400,274842,244880,16
3,compute-chain,automatic,16,1048576,8,1024,1024,1020,4480,4280,274291,244440,16
4,compute-chain,automatic,16,1048576,8,1024,1024,990,4570,4320,274362,244400,16
5,compute-chain,automatic,16,1048576,8,1024,1024,990,4480,4220,274561,244880,16
6,compute-chain,automatic,16,1048576,8,1024,1024,1020,4520,4240,274362,244760,16
7,compute-chain,automatic,16,1048576,8,1024,1024,1000,4620,4010,273991,244480,16
8,compute-chain,automatic,16,1048576,8,1024,1024,1010,4650,4080,274202,243320,16
9,compute-chain,automatic,16,1048576,8,1024,1024,1250,4610,4280,267541,237080,16
10,compute-chain,automatic,16,1048576,8,1024,1024,1020,4420,4160,267612,237320,16
11,compute-chain,automatic,16,1048576,8,1024,1024,1020,4750,4360,267581,237200,16
12,compute-chain,automatic,16,1048576,8,1024,1024,1000,4640,4350,252811,228480,16
13,compute-chain,automatic,16,1048576,8,1024,1024,990,4510,4300,248902,222400,16
14,compute-chain,automatic,16,1048576,8,1024,1024,990,4610,4140,248571,222280,16
15,compute-chain,automatic,16,1048576,8,1024,1024,1020,4440,4440,248961,222240,16
16,compute-chain,automatic,16,1048576,8,1024,1024,1010,4550,4370,310582,205400,16
17,compute-chain,automatic,16,1048576,8,1024,1024,1010,4560,4480,232282,205400,16
18,compute-chain,automatic,16,1048576,8,1024,1024,1000,4460,4310,231551,205080,16
19,compute-chain,automatic,16,1048576,8,1024,1024,1020,4640,4240,232621,205640,16
20,compute-chain,automatic,16,1048576,8,1024,1024,990,4590,4470,220761,195960,16
21,compute-chain,automatic,16,1048576,8,1024,1024,1000,4540,4630,221641,195240,16
22,compute-chain,automatic,16,1048576,8,1024,1024,1010,4590,4220,221722,195280,16
23,compute-chain,automatic,16,1048576,8,1024,1024,1010,4660,4400,222301,195800,16
24,compute-chain,automatic,16,1048576,8,1024,1024,990,4460,4400,219071,192360,16
25,compute-chain,automatic,16,1048576,8,1024,1024,980,4560,4280,216111,189920,16
26,compute-chain,automatic,16,1048576,8,1024,1024,990,4500,4600,216671,190160,16
27,compute-chain,automatic,16,1048576,8,1024,1024,1010,4510,4410,216501,189920,16
28,compute-chain,automatic,16,1048576,8,1024,1024,1090,4340,4340,215002,188000,16
29,compute-chain,automatic,16,1048576,8,1024,1024,1260,4510,4310,206951,180600,16
# validation_hash,fnv1a64:1051691fc9daa325
