# collection_id,20260725T193736Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Radeon RX 7900 XT (RADV NAVI31)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-chain,hazard-only,16,1048576,8,1024,1024,1000,4870,4260,272331,245160,16
1,compute-chain,hazard-only,16,1048576,8,1024,1024,990,4970,4240,272002,244640,16
2,compute-chain,hazard-only,16,1048576,8,1024,1024,1000,4830,4340,273431,244760,16
3,compute-chain,hazard-only,16,1048576,8,1024,1024,1130,4850,4390,271662,244800,16
4,compute-chain,hazard-only,16,1048576,8,1024,1024,1040,4910,4250,272141,244880,16
5,compute-chain,hazard-only,16,1048576,8,1024,1024,1050,4710,4450,272342,245160,16
6,compute-chain,hazard-only,16,1048576,8,1024,1024,1140,4620,4640,274201,244720,16
7,compute-chain,hazard-only,16,1048576,8,1024,1024,1250,4800,4310,273392,244840,16
8,compute-chain,hazard-only,16,1048576,8,1024,1024,980,4800,4390,272461,243200,16
9,compute-chain,hazard-only,16,1048576,8,1024,1024,990,4720,4390,268162,240800,16
10,compute-chain,hazard-only,16,1048576,8,1024,1024,980,4750,4710,268591,240640,16
11,compute-chain,hazard-only,16,1048576,8,1024,1024,970,4760,4380,268552,241040,16
12,compute-chain,hazard-only,16,1048576,8,1024,1024,1010,4860,4580,247471,225840,16
13,compute-chain,hazard-only,16,1048576,8,1024,1024,990,4930,4380,247551,224160,16
14,compute-chain,hazard-only,16,1048576,8,1024,1024,1070,4730,4440,248842,224160,16
15,compute-chain,hazard-only,16,1048576,8,1024,1024,980,4840,4300,247571,224200,16
16,compute-chain,hazard-only,16,1048576,8,1024,1024,980,4670,4440,230381,206920,16
17,compute-chain,hazard-only,16,1048576,8,1024,1024,970,4930,4490,231502,206760,16
18,compute-chain,hazard-only,16,1048576,8,1024,1024,980,4900,4370,232511,206800,16
19,compute-chain,hazard-only,16,1048576,8,1024,1024,970,4750,4350,231401,206720,16
20,compute-chain,hazard-only,16,1048576,8,1024,1024,980,4460,4500,222711,199880,16
21,compute-chain,hazard-only,16,1048576,8,1024,1024,970,4790,4690,224992,199000,16
22,compute-chain,hazard-only,16,1048576,8,1024,1024,980,4600,4450,224441,199040,16
23,compute-chain,hazard-only,16,1048576,8,1024,1024,1000,4740,4390,223661,199360,16
24,compute-chain,hazard-only,16,1048576,8,1024,1024,980,4820,4440,219401,193160,16
25,compute-chain,hazard-only,16,1048576,8,1024,1024,970,4750,4550,214951,190560,16
26,compute-chain,hazard-only,16,1048576,8,1024,1024,980,4750,4900,215691,190200,16
27,compute-chain,hazard-only,16,1048576,8,1024,1024,970,4710,4280,215832,190240,16
28,compute-chain,hazard-only,16,1048576,8,1024,1024,980,4830,4330,213451,188120,16
29,compute-chain,hazard-only,16,1048576,8,1024,1024,970,4590,4570,204661,180360,16
# validation_hash,fnv1a64:1051691fc9daa325
