# collection_id,20260725T193736Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Radeon RX 7900 XT (RADV NAVI31)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1000,4850,4460,262341,230080,16
1,compute-independent,automatic-scoped,16,1048576,8,1024,1024,980,5010,4210,262922,230560,16
2,compute-independent,automatic-scoped,16,1048576,8,1024,1024,990,5100,4120,262061,230320,16
3,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1070,4870,4400,262471,230200,16
4,compute-independent,automatic-scoped,16,1048576,8,1024,1024,980,5040,4180,262722,230280,16
5,compute-independent,automatic-scoped,16,1048576,8,1024,1024,980,5030,4180,262331,230280,16
6,compute-independent,automatic-scoped,16,1048576,8,1024,1024,990,4790,4050,262742,231200,16
7,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1000,5060,4610,262721,230200,16
8,compute-independent,automatic-scoped,16,1048576,8,1024,1024,980,4870,4120,262592,230480,16
9,compute-independent,automatic-scoped,16,1048576,8,1024,1024,980,4980,4200,262681,230560,16
10,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1000,4980,4480,240641,214240,16
11,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1030,4960,4450,244152,217040,16
12,compute-independent,automatic-scoped,16,1048576,8,1024,1024,990,4830,4380,241271,213120,16
13,compute-independent,automatic-scoped,16,1048576,8,1024,1024,980,4800,4380,241991,213640,16
14,compute-independent,automatic-scoped,16,1048576,8,1024,1024,950,4990,4110,230122,204320,16
15,compute-independent,automatic-scoped,16,1048576,8,1024,1024,980,4870,4200,231321,203800,16
16,compute-independent,automatic-scoped,16,1048576,8,1024,1024,980,5000,4240,231651,203600,16
17,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1150,5090,4170,231482,204000,16
18,compute-independent,automatic-scoped,16,1048576,8,1024,1024,980,5080,4240,220581,194640,16
19,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1110,4650,4200,220131,192440,16
20,compute-independent,automatic-scoped,16,1048576,8,1024,1024,980,4800,4350,219181,192520,16
21,compute-independent,automatic-scoped,16,1048576,8,1024,1024,980,4950,4350,219331,192720,16
22,compute-independent,automatic-scoped,16,1048576,8,1024,1024,980,5110,4040,215081,187680,16
23,compute-independent,automatic-scoped,16,1048576,8,1024,1024,990,4770,4381,209491,181520,16
24,compute-independent,automatic-scoped,16,1048576,8,1024,1024,970,4990,4300,208191,181160,16
25,compute-independent,automatic-scoped,16,1048576,8,1024,1024,970,4840,4320,208801,181200,16
26,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1090,5080,4410,208431,181240,16
27,compute-independent,automatic-scoped,16,1048576,8,1024,1024,970,5030,4510,202521,177320,16
28,compute-independent,automatic-scoped,16,1048576,8,1024,1024,980,4900,4510,204351,177000,16
29,compute-independent,automatic-scoped,16,1048576,8,1024,1024,970,4780,4250,203881,177000,16
# validation_hash,fnv1a64:f0047a40f9cd8b25
