# collection_id,20260725T193736Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Radeon RX 7900 XT (RADV NAVI31)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-chain,automatic,16,1048576,8,1024,1024,960,12220,4250,405372,378200,16
1,graphics-chain,automatic,16,1048576,8,1024,1024,970,12250,4110,404403,377680,16
2,graphics-chain,automatic,16,1048576,8,1024,1024,1240,12290,4550,405332,377760,16
3,graphics-chain,automatic,16,1048576,8,1024,1024,1240,12370,4530,383942,357160,16
4,graphics-chain,automatic,16,1048576,8,1024,1024,970,12320,4320,377102,351320,16
5,graphics-chain,automatic,16,1048576,8,1024,1024,980,12320,4280,375122,349520,16
6,graphics-chain,automatic,16,1048576,8,1024,1024,1400,13560,3850,362152,337880,16
7,graphics-chain,automatic,16,1048576,8,1024,1024,980,12260,4300,362212,337440,16
8,graphics-chain,automatic,16,1048576,8,1024,1024,980,12370,4260,362112,337480,16
9,graphics-chain,automatic,16,1048576,8,1024,1024,1130,12340,4780,356432,332200,16
10,graphics-chain,automatic,16,1048576,8,1024,1024,990,12200,4440,356342,332160,16
11,graphics-chain,automatic,16,1048576,8,1024,1024,970,12140,4280,347462,326800,16
12,graphics-chain,automatic,16,1048576,8,1024,1024,970,12230,4410,350381,326800,16
13,graphics-chain,automatic,16,1048576,8,1024,1024,970,12230,4231,350221,326840,16
14,graphics-chain,automatic,16,1048576,8,1024,1024,1210,13410,4150,349452,327000,16
15,graphics-chain,automatic,16,1048576,8,1024,1024,1020,12180,4220,347492,324720,16
16,graphics-chain,automatic,16,1048576,8,1024,1024,1060,12300,4110,346542,324480,16
17,graphics-chain,automatic,16,1048576,8,1024,1024,970,12270,4230,343662,322960,16
18,graphics-chain,automatic,16,1048576,8,1024,1024,980,12290,4170,344342,321720,16
19,graphics-chain,automatic,16,1048576,8,1024,1024,980,12150,4200,343812,321480,16
20,graphics-chain,automatic,16,1048576,8,1024,1024,970,12200,4450,286311,264640,16
21,graphics-chain,automatic,16,1048576,8,1024,1024,980,12240,4650,286602,264840,16
22,graphics-chain,automatic,16,1048576,8,1024,1024,970,12380,4270,277411,255760,16
23,graphics-chain,automatic,16,1048576,8,1024,1024,970,12361,4320,307571,225640,16
24,graphics-chain,automatic,16,1048576,8,1024,1024,970,12270,4350,247202,225600,16
25,graphics-chain,automatic,16,1048576,8,1024,1024,980,12330,4310,247371,225840,16
26,graphics-chain,automatic,16,1048576,8,1024,1024,1070,12200,4160,244292,223240,16
27,graphics-chain,automatic,16,1048576,8,1024,1024,970,12260,4360,219201,198160,16
28,graphics-chain,automatic,16,1048576,8,1024,1024,990,12250,4240,219031,197960,16
29,graphics-chain,automatic,16,1048576,8,1024,1024,970,12170,4350,219161,197960,16
# validation_hash,fnv1a64:de1814328067f325
