# collection_id,20260725T193736Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Radeon RX 7900 XT (RADV NAVI31)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,1070,11950,4490,405773,378200,16
1,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,1000,12130,4290,405532,378320,16
2,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,1020,12030,4390,452662,375920,16
3,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,1100,15120,6050,402972,376040,16
4,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,1010,12130,4330,383852,357280,16
5,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,990,12040,4320,366682,341440,16
6,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,1180,12040,4230,367142,341880,16
7,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,980,12090,4571,355211,333440,16
8,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,990,12061,4460,357361,333280,16
9,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,980,12060,4250,357622,333520,16
10,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,990,11990,4410,353842,330080,16
11,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,1000,12020,4150,353782,330080,16
12,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,980,12160,4550,353692,330160,16
13,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,1170,11980,4210,349422,326280,16
14,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,990,12110,4210,349592,326320,16
15,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,1020,12010,4360,343172,322640,16
16,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,1030,12050,4240,344472,321960,16
17,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,1130,12030,4690,344242,321960,16
18,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,990,12160,4440,342171,320280,16
19,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,1110,12000,4351,342541,320400,16
20,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,1010,12150,4200,296912,274760,16
21,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,980,12180,4700,247831,226120,16
22,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,990,12040,4400,247332,226160,16
23,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,1040,12040,4720,247671,226120,16
24,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,980,12200,4540,244372,224000,16
25,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,980,12040,4600,226201,204920,16
26,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,6140,12170,3930,225821,204640,16
27,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,1060,12200,4390,226241,204480,16
28,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,1020,12070,4221,220171,200760,16
29,graphics-chain,explicit-all-scoped,16,1048576,8,1024,1024,980,11970,4510,218521,198240,16
# validation_hash,fnv1a64:de1814328067f325
