# collection_id,20260725T193736Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Radeon RX 7900 XT (RADV NAVI31)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-independent,explicit-all-scoped,16,1048576,8,1024,1024,1380,19500,4990,468153,435080,16
1,graphics-independent,explicit-all-scoped,16,1048576,8,1024,1024,1130,18880,4630,453632,421240,16
2,graphics-independent,explicit-all-scoped,16,1048576,8,1024,1024,1000,19180,4650,449152,417040,16
3,graphics-independent,explicit-all-scoped,16,1048576,8,1024,1024,980,19021,4470,424862,393720,16
4,graphics-independent,explicit-all-scoped,16,1048576,8,1024,1024,1000,19070,4610,424482,393400,16
5,graphics-independent,explicit-all-scoped,16,1048576,8,1024,1024,1100,19030,4470,399373,370800,16
6,graphics-independent,explicit-all-scoped,16,1048576,8,1024,1024,980,18890,4380,400892,370840,16
7,graphics-independent,explicit-all-scoped,16,1048576,8,1024,1024,980,18920,4560,385142,355080,16
8,graphics-independent,explicit-all-scoped,16,1048576,8,1024,1024,1220,18910,4230,374652,346320,16
9,graphics-independent,explicit-all-scoped,16,1048576,8,1024,1024,1090,20100,4270,375062,345680,16
10,graphics-independent,explicit-all-scoped,16,1048576,8,1024,1024,1190,19910,4470,366462,337360,16
11,graphics-independent,explicit-all-scoped,16,1048576,8,1024,1024,1150,19880,4280,366642,337840,16
12,graphics-independent,explicit-all-scoped,16,1048576,8,1024,1024,1120,20090,4380,361812,331960,16
13,graphics-independent,explicit-all-scoped,16,1048576,8,1024,1024,1110,19960,4370,356732,327720,16
14,graphics-independent,explicit-all-scoped,16,1048576,8,1024,1024,1190,20110,4510,356512,327680,16
15,graphics-independent,explicit-all-scoped,16,1048576,8,1024,1024,1090,20020,4380,353992,324760,16
16,graphics-independent,explicit-all-scoped,16,1048576,8,1024,1024,1090,20080,4280,353832,324840,16
17,graphics-independent,explicit-all-scoped,16,1048576,8,1024,1024,1100,18910,4240,353572,324440,16
18,graphics-independent,explicit-all-scoped,16,1048576,8,1024,1024,970,18990,4950,352282,323360,16
19,graphics-independent,explicit-all-scoped,16,1048576,8,1024,1024,1120,19960,4220,352542,323240,16
20,graphics-independent,explicit-all-scoped,16,1048576,8,1024,1024,1110,19980,4360,352802,322520,16
21,graphics-independent,explicit-all-scoped,16,1048576,8,1024,1024,1100,22890,4890,349822,320080,16
22,graphics-independent,explicit-all-scoped,16,1048576,8,1024,1024,1100,19980,4420,349472,319880,16
23,graphics-independent,explicit-all-scoped,16,1048576,8,1024,1024,1110,20160,4370,349152,319280,16
24,graphics-independent,explicit-all-scoped,16,1048576,8,1024,1024,980,19010,4160,348362,319320,16
25,graphics-independent,explicit-all-scoped,16,1048576,8,1024,1024,1100,20130,4720,348872,318800,16
26,graphics-independent,explicit-all-scoped,16,1048576,8,1024,1024,1100,20280,4450,346632,316800,16
27,graphics-independent,explicit-all-scoped,16,1048576,8,1024,1024,1090,19770,4400,346342,316720,16
28,graphics-independent,explicit-all-scoped,16,1048576,8,1024,1024,970,18950,4330,346132,316480,16
29,graphics-independent,explicit-all-scoped,16,1048576,8,1024,1024,1140,26080,4700,345422,315920,16
# validation_hash,fnv1a64:161975f4e03e1a92
