# collection_id,20260725T193736Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Radeon RX 7900 XT (RADV NAVI31)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1070,8780,4290,284182,259280,16
1,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1050,8680,4710,284821,259720,16
2,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1030,8650,4570,264442,242800,16
3,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1060,8930,4360,267611,243280,16
4,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1040,8670,4360,267772,243080,16
5,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1240,8840,4550,262691,238840,16
6,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1050,8860,4160,256752,232960,16
7,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1030,8710,4220,255601,232400,16
8,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1040,8770,4770,256351,232840,16
9,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1030,8730,4711,319171,220520,16
10,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1040,8670,4220,243531,220560,16
11,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1150,8570,4851,242791,220160,16
12,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1040,8770,4270,241931,218920,16
13,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1040,8680,4400,229211,207120,16
14,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1030,8690,4520,229462,207240,16
15,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1110,8630,4610,229181,207040,16
16,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1100,8640,4490,229671,207040,16
17,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1040,8590,4320,223782,201960,16
18,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1150,8870,4630,223501,201840,16
19,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1030,8620,4280,223401,201600,16
20,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1060,8820,4820,223871,202120,16
21,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1050,8810,4610,211931,191960,16
22,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1040,8720,4180,212492,191560,16
23,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1040,8810,4500,212721,191520,16
24,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1040,8810,4670,212931,191720,16
25,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1040,9000,4770,208411,188200,16
26,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1020,8710,4600,206721,185440,16
27,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1060,8700,4390,205631,185080,16
28,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1030,8660,4390,206002,185040,16
29,mixed-chain,automatic-scoped,16,1048576,8,1024,1024,1030,8750,4390,206021,185120,16
# validation_hash,fnv1a64:d723cf861be8a15e
