# collection_id,20260725T193736Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Radeon RX 7900 XT (RADV NAVI31)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,mixed-chain,automatic,16,1048576,8,1024,1024,1090,8960,4380,317182,290360,16
1,mixed-chain,automatic,16,1048576,8,1024,1024,1130,12130,4530,317832,290640,16
2,mixed-chain,automatic,16,1048576,8,1024,1024,1100,10430,4310,317521,290400,16
3,mixed-chain,automatic,16,1048576,8,1024,1024,1080,10600,4380,316122,289040,16
4,mixed-chain,automatic,16,1048576,8,1024,1024,1080,10300,4600,291822,266280,16
5,mixed-chain,automatic,16,1048576,8,1024,1024,1240,10950,4310,291091,265440,16
6,mixed-chain,automatic,16,1048576,8,1024,1024,1080,10381,4270,290671,265680,16
7,mixed-chain,automatic,16,1048576,8,1024,1024,1200,10390,4500,271532,248960,16
8,mixed-chain,automatic,16,1048576,8,1024,1024,1110,10430,4320,271361,247080,16
9,mixed-chain,automatic,16,1048576,8,1024,1024,1070,10400,4360,272021,247240,16
10,mixed-chain,automatic,16,1048576,8,1024,1024,1080,10340,4261,267931,243760,16
11,mixed-chain,automatic,16,1048576,8,1024,1024,1080,10630,4490,260571,236560,16
12,mixed-chain,automatic,16,1048576,8,1024,1024,1250,10190,4760,260202,236520,16
13,mixed-chain,automatic,16,1048576,8,1024,1024,1070,10660,5570,259281,236400,16
14,mixed-chain,automatic,16,1048576,8,1024,1024,1070,10530,4570,308542,219440,16
15,mixed-chain,automatic,16,1048576,8,1024,1024,1080,10520,4350,242911,219720,16
16,mixed-chain,automatic,16,1048576,8,1024,1024,1250,10581,4300,242901,219960,16
17,mixed-chain,automatic,16,1048576,8,1024,1024,1070,10210,4200,241101,218080,16
18,mixed-chain,automatic,16,1048576,8,1024,1024,1380,10410,4230,232051,209480,16
19,mixed-chain,automatic,16,1048576,8,1024,1024,1080,10660,4300,232172,209520,16
20,mixed-chain,automatic,16,1048576,8,1024,1024,1350,10330,4710,232171,209560,16
21,mixed-chain,automatic,16,1048576,8,1024,1024,1250,10300,4520,231591,209080,16
22,mixed-chain,automatic,16,1048576,8,1024,1024,1380,10430,4320,226641,204480,16
23,mixed-chain,automatic,16,1048576,8,1024,1024,1080,10230,4380,226262,204160,16
24,mixed-chain,automatic,16,1048576,8,1024,1024,1250,10550,4480,226781,204640,16
25,mixed-chain,automatic,16,1048576,8,1024,1024,1080,10480,4510,226051,203880,16
26,mixed-chain,automatic,16,1048576,8,1024,1024,1070,10380,4490,214812,193280,16
27,mixed-chain,automatic,16,1048576,8,1024,1024,1080,10510,4540,214701,193280,16
28,mixed-chain,automatic,16,1048576,8,1024,1024,1080,10450,4380,215711,193320,16
29,mixed-chain,automatic,16,1048576,8,1024,1024,1200,10330,4430,215211,193600,16
# validation_hash,fnv1a64:d723cf861be8a15e
