# collection_id,20260725T193736Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Ryzen 5 9600X 6-Core Processor (RADV RAPHAEL_MENDOCINO)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-chain,explicit-all,16,1048576,8,1024,1024,1400,4240,4660,3883381,3835000,16
1,compute-chain,explicit-all,16,1048576,8,1024,1024,1460,4390,4510,3889430,3838440,16
2,compute-chain,explicit-all,16,1048576,8,1024,1024,1370,4210,4170,3890030,3842000,16
3,compute-chain,explicit-all,16,1048576,8,1024,1024,1430,4380,4160,3889041,3840880,16
4,compute-chain,explicit-all,16,1048576,8,1024,1024,1360,4080,4300,3893840,3841880,16
5,compute-chain,explicit-all,16,1048576,8,1024,1024,1510,4550,4030,3889830,3841800,16
6,compute-chain,explicit-all,16,1048576,8,1024,1024,1340,4430,4540,3885971,3838240,16
7,compute-chain,explicit-all,16,1048576,8,1024,1024,1420,4430,3950,3885160,3836600,16
8,compute-chain,explicit-all,16,1048576,8,1024,1024,1550,4250,6440,3888071,3838960,16
9,compute-chain,explicit-all,16,1048576,8,1024,1024,1440,4570,4150,3884370,3836680,16
10,compute-chain,explicit-all,16,1048576,8,1024,1024,1390,4430,4310,3893360,3845680,16
11,compute-chain,explicit-all,16,1048576,8,1024,1024,1430,4700,3940,3887490,3839360,16
12,compute-chain,explicit-all,16,1048576,8,1024,1024,1360,4121,4470,3886570,3838600,16
13,compute-chain,explicit-all,16,1048576,8,1024,1024,1450,4680,4280,3888300,3840720,16
14,compute-chain,explicit-all,16,1048576,8,1024,1024,1500,4270,4310,3913551,3836640,16
15,compute-chain,explicit-all,16,1048576,8,1024,1024,1430,4610,4050,3884900,3837400,16
16,compute-chain,explicit-all,16,1048576,8,1024,1024,1260,4400,4330,3886010,3838000,16
17,compute-chain,explicit-all,16,1048576,8,1024,1024,1460,4300,4270,3890921,3842400,16
18,compute-chain,explicit-all,16,1048576,8,1024,1024,1380,4310,4050,3885240,3837640,16
19,compute-chain,explicit-all,16,1048576,8,1024,1024,1410,4740,4110,3890270,3841960,16
20,compute-chain,explicit-all,16,1048576,8,1024,1024,1340,4110,4101,3888250,3840480,16
21,compute-chain,explicit-all,16,1048576,8,1024,1024,1420,4660,5970,3886720,3838040,16
22,compute-chain,explicit-all,16,1048576,8,1024,1024,1360,4370,4250,3885080,3837000,16
23,compute-chain,explicit-all,16,1048576,8,1024,1024,1420,4360,4260,3886511,3838920,16
24,compute-chain,explicit-all,16,1048576,8,1024,1024,1350,4340,4300,3887680,3839560,16
25,compute-chain,explicit-all,16,1048576,8,1024,1024,1420,4290,4170,3882930,3834560,16
26,compute-chain,explicit-all,16,1048576,8,1024,1024,1550,4430,4290,3882771,3835240,16
27,compute-chain,explicit-all,16,1048576,8,1024,1024,1420,4690,4350,3882460,3835160,16
28,compute-chain,explicit-all,16,1048576,8,1024,1024,1360,4390,4410,3888390,3840360,16
29,compute-chain,explicit-all,16,1048576,8,1024,1024,1700,4430,4120,3882530,3834200,16
# validation_hash,fnv1a64:1051691fc9daa325
