# collection_id,20260725T193736Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Ryzen 5 9600X 6-Core Processor (RADV RAPHAEL_MENDOCINO)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1450,4010,5170,3879980,3832920,16
1,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1850,4490,5050,3887590,3840480,16
2,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1440,4440,4930,3882981,3835960,16
3,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1550,4610,4880,3883250,3836400,16
4,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1420,4350,5060,3880710,3833640,16
5,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1890,7410,5320,3881210,3838640,16
6,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1680,4171,4720,3882230,3835360,16
7,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1530,4310,4790,3893900,3846920,16
8,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1510,4180,4840,3885411,3838440,16
9,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1470,4500,4950,3878630,3831600,16
10,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1400,4080,4660,3879860,3832480,16
11,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1550,4350,4620,3878921,3832120,16
12,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1510,4030,4850,3886190,3839520,16
13,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1550,4450,4860,3879510,3832760,16
14,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1430,4070,4640,3883060,3836760,16
15,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1480,4320,4801,3875810,3828840,16
16,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1380,4020,4750,3882730,3836080,16
17,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1480,4490,4720,3875711,3829240,16
18,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1620,4030,5010,3885490,3838760,16
19,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1690,4290,4750,3883270,3836160,16
20,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1430,4290,4730,3878470,3831200,16
21,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1490,4240,5150,3882291,3835040,16
22,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1440,4250,4780,3885020,3837920,16
23,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1480,4400,4780,3895670,3835640,16
24,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1480,4240,4970,3886191,3838160,16
25,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1560,4490,4870,3880980,3834040,16
26,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1400,4170,5100,3886740,3839400,16
27,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1550,4680,4960,3886691,3839720,16
28,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1430,4060,4970,3881140,3839120,16
29,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1630,4560,37780,3951941,3900760,16
# validation_hash,fnv1a64:1051691fc9daa325
