# collection_id,20260725T193736Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Ryzen 5 9600X 6-Core Processor (RADV RAPHAEL_MENDOCINO)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-chain,hazard-only,16,1048576,8,1024,1024,1660,4280,5080,3874610,3838960,16
1,compute-chain,hazard-only,16,1048576,8,1024,1024,1610,4170,5410,3884071,3836040,16
2,compute-chain,hazard-only,16,1048576,8,1024,1024,1410,4530,4910,3883850,3836320,16
3,compute-chain,hazard-only,16,1048576,8,1024,1024,1410,4270,5030,3890390,3842960,16
4,compute-chain,hazard-only,16,1048576,8,1024,1024,1420,4140,5080,3884511,3837200,16
5,compute-chain,hazard-only,16,1048576,8,1024,1024,1390,4360,4910,3888080,3840600,16
6,compute-chain,hazard-only,16,1048576,8,1024,1024,1390,4330,4890,3889170,3841840,16
7,compute-chain,hazard-only,16,1048576,8,1024,1024,1910,5570,4920,3884661,3837320,16
8,compute-chain,hazard-only,16,1048576,8,1024,1024,1430,4150,4900,3885460,3837880,16
9,compute-chain,hazard-only,16,1048576,8,1024,1024,1460,4640,4970,3882820,3835200,16
10,compute-chain,hazard-only,16,1048576,8,1024,1024,1450,4300,4960,3883431,3836080,16
11,compute-chain,hazard-only,16,1048576,8,1024,1024,1430,4080,4780,3885690,3838360,16
12,compute-chain,hazard-only,16,1048576,8,1024,1024,1420,4350,4860,3883390,3835560,16
13,compute-chain,hazard-only,16,1048576,8,1024,1024,1450,4570,4810,3885631,3838000,16
14,compute-chain,hazard-only,16,1048576,8,1024,1024,1430,4070,4960,3883550,3836360,16
15,compute-chain,hazard-only,16,1048576,8,1024,1024,1410,4310,4910,3916790,3838400,16
16,compute-chain,hazard-only,16,1048576,8,1024,1024,1390,4370,4801,3889350,3841720,16
17,compute-chain,hazard-only,16,1048576,8,1024,1024,1580,4260,4970,3886470,3839760,16
18,compute-chain,hazard-only,16,1048576,8,1024,1024,1440,4350,4870,3884560,3837200,16
19,compute-chain,hazard-only,16,1048576,8,1024,1024,1420,4210,4870,3888751,3841400,16
20,compute-chain,hazard-only,16,1048576,8,1024,1024,1430,4390,4830,3890490,3842680,16
21,compute-chain,hazard-only,16,1048576,8,1024,1024,1370,4130,5290,3882630,3835080,16
22,compute-chain,hazard-only,16,1048576,8,1024,1024,1440,4400,4850,3890901,3843000,16
23,compute-chain,hazard-only,16,1048576,8,1024,1024,1390,4020,5170,3884410,3837160,16
24,compute-chain,hazard-only,16,1048576,8,1024,1024,1390,4290,4880,3887760,3840160,16
25,compute-chain,hazard-only,16,1048576,8,1024,1024,1420,4230,4820,3885161,3837800,16
26,compute-chain,hazard-only,16,1048576,8,1024,1024,1410,4260,5000,3890320,3843200,16
27,compute-chain,hazard-only,16,1048576,8,1024,1024,1370,4300,4900,3881511,3834040,16
28,compute-chain,hazard-only,16,1048576,8,1024,1024,1450,4100,4930,3884670,3836920,16
29,compute-chain,hazard-only,16,1048576,8,1024,1024,1450,4430,4990,3879740,3832280,16
# validation_hash,fnv1a64:1051691fc9daa325
