# collection_id,20260725T193736Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Ryzen 5 9600X 6-Core Processor (RADV RAPHAEL_MENDOCINO)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-independent,automatic,16,1048576,8,1024,1024,2290,27921,7620,5368228,5313000,16
1,graphics-independent,automatic,16,1048576,8,1024,1024,1550,26220,4820,5372388,5321000,16
2,graphics-independent,automatic,16,1048576,8,1024,1024,1420,25260,4520,5365988,5316000,16
3,graphics-independent,automatic,16,1048576,8,1024,1024,1440,25520,4730,5366388,5315760,16
4,graphics-independent,automatic,16,1048576,8,1024,1024,1380,25400,4750,5367078,5316240,16
5,graphics-independent,automatic,16,1048576,8,1024,1024,1490,25560,5010,5366718,5316800,16
6,graphics-independent,automatic,16,1048576,8,1024,1024,1390,25160,4721,5367528,5317160,16
7,graphics-independent,automatic,16,1048576,8,1024,1024,1460,25340,4920,5369148,5319120,16
8,graphics-independent,automatic,16,1048576,8,1024,1024,1390,25460,4510,5366008,5315760,16
9,graphics-independent,automatic,16,1048576,8,1024,1024,1470,25660,4710,5363258,5312680,16
10,graphics-independent,automatic,16,1048576,8,1024,1024,1360,25370,4710,5366828,5316960,16
11,graphics-independent,automatic,16,1048576,8,1024,1024,1450,25400,4851,5365947,5316160,16
12,graphics-independent,automatic,16,1048576,8,1024,1024,1460,25140,4770,5366808,5316880,16
13,graphics-independent,automatic,16,1048576,8,1024,1024,1480,25341,4650,5367528,5317160,16
14,graphics-independent,automatic,16,1048576,8,1024,1024,1390,25090,4710,5366268,5316120,16
15,graphics-independent,automatic,16,1048576,8,1024,1024,1460,25580,4630,5365878,5315600,16
16,graphics-independent,automatic,16,1048576,8,1024,1024,1450,25840,5000,5365688,5314760,16
17,graphics-independent,automatic,16,1048576,8,1024,1024,1690,26160,5350,5367729,5317040,16
18,graphics-independent,automatic,16,1048576,8,1024,1024,1280,25250,4730,5367448,5316760,16
19,graphics-independent,automatic,16,1048576,8,1024,1024,1470,25290,4600,5364018,5314160,16
20,graphics-independent,automatic,16,1048576,8,1024,1024,1380,25320,4570,5366058,5316080,16
21,graphics-independent,automatic,16,1048576,8,1024,1024,1490,25460,5150,5366778,5316720,16
22,graphics-independent,automatic,16,1048576,8,1024,1024,1390,25000,4710,5366388,5316400,16
23,graphics-independent,automatic,16,1048576,8,1024,1024,1470,25550,4640,5366928,5316800,16
24,graphics-independent,automatic,16,1048576,8,1024,1024,1370,25071,4860,5366588,5316600,16
25,graphics-independent,automatic,16,1048576,8,1024,1024,1470,25550,4660,5369398,5319600,16
26,graphics-independent,automatic,16,1048576,8,1024,1024,1510,25380,4820,5366218,5315880,16
27,graphics-independent,automatic,16,1048576,8,1024,1024,1700,25430,4700,5366028,5316040,16
28,graphics-independent,automatic,16,1048576,8,1024,1024,1530,25100,4890,5366478,5316240,16
29,graphics-independent,automatic,16,1048576,8,1024,1024,1640,25451,4800,5365727,5315480,16
# validation_hash,fnv1a64:161975f4e03e1a92
