# collection_id,20260725T193736Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Ryzen 5 9600X 6-Core Processor (RADV RAPHAEL_MENDOCINO)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-independent,hazard-only,16,1048576,8,1024,1024,1630,23530,5010,5304998,5254760,16
1,graphics-independent,hazard-only,16,1048576,8,1024,1024,1440,23380,4860,5303358,5253040,16
2,graphics-independent,hazard-only,16,1048576,8,1024,1024,1360,23630,4750,5304218,5254320,16
3,graphics-independent,hazard-only,16,1048576,8,1024,1024,1390,23540,4750,5304288,5254160,16
4,graphics-independent,hazard-only,16,1048576,8,1024,1024,1370,23390,4940,5304298,5253960,16
5,graphics-independent,hazard-only,16,1048576,8,1024,1024,1390,23580,4840,5304637,5254640,16
6,graphics-independent,hazard-only,16,1048576,8,1024,1024,1400,23640,4970,5305968,5253160,16
7,graphics-independent,hazard-only,16,1048576,8,1024,1024,1360,23650,4960,5303908,5253480,16
8,graphics-independent,hazard-only,16,1048576,8,1024,1024,1400,24200,4890,5303488,5253360,16
9,graphics-independent,hazard-only,16,1048576,8,1024,1024,1400,23390,4700,5304928,5250320,16
10,graphics-independent,hazard-only,16,1048576,8,1024,1024,1410,23700,4900,5304048,5254120,16
11,graphics-independent,hazard-only,16,1048576,8,1024,1024,1370,23400,4950,5303147,5253280,16
12,graphics-independent,hazard-only,16,1048576,8,1024,1024,1830,23901,5370,5302907,5252760,16
13,graphics-independent,hazard-only,16,1048576,8,1024,1024,1380,23870,4950,5302618,5252280,16
14,graphics-independent,hazard-only,16,1048576,8,1024,1024,1400,23490,4780,5303928,5253760,16
15,graphics-independent,hazard-only,16,1048576,8,1024,1024,1370,23740,4920,5304118,5253920,16
16,graphics-independent,hazard-only,16,1048576,8,1024,1024,1360,23440,4810,5303117,5253200,16
17,graphics-independent,hazard-only,16,1048576,8,1024,1024,1370,23401,5040,5303067,5253040,16
18,graphics-independent,hazard-only,16,1048576,8,1024,1024,1520,23600,4840,5303768,5253920,16
19,graphics-independent,hazard-only,16,1048576,8,1024,1024,1340,23700,4650,5310948,5252640,16
20,graphics-independent,hazard-only,16,1048576,8,1024,1024,1420,23790,5050,5303698,5253880,16
21,graphics-independent,hazard-only,16,1048576,8,1024,1024,1370,23850,5260,5303497,5253560,16
22,graphics-independent,hazard-only,16,1048576,8,1024,1024,1380,24381,6810,5303747,5253680,16
23,graphics-independent,hazard-only,16,1048576,8,1024,1024,1360,23620,4960,5303087,5252960,16
24,graphics-independent,hazard-only,16,1048576,8,1024,1024,1350,23520,5120,5303518,5253400,16
25,graphics-independent,hazard-only,16,1048576,8,1024,1024,1380,25510,4920,5303388,5253560,16
26,graphics-independent,hazard-only,16,1048576,8,1024,1024,1390,23480,4870,5303378,5253400,16
27,graphics-independent,hazard-only,16,1048576,8,1024,1024,1360,23610,4740,5303688,5253840,16
28,graphics-independent,hazard-only,16,1048576,8,1024,1024,1410,25450,4740,5303537,5253480,16
29,graphics-independent,hazard-only,16,1048576,8,1024,1024,1400,23211,4670,5309587,5256240,16
# validation_hash,fnv1a64:161975f4e03e1a92
