# collection_id,20260725T193736Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Ryzen 5 9600X 6-Core Processor (RADV RAPHAEL_MENDOCINO)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1490,14530,5390,4652594,4601520,16
1,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1400,14640,4850,4652684,4601560,16
2,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1390,14880,4820,4654465,4602200,16
3,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1410,14830,4770,4647904,4597080,16
4,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1700,14990,5290,4657424,4600200,16
5,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1420,14631,4740,4647364,4598040,16
6,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1380,14550,4800,4647264,4596760,16
7,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1370,14590,4801,4654674,4604320,16
8,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1380,14490,4650,4637674,4598880,16
9,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1430,14570,4760,4646794,4596600,16
10,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1370,14650,5100,4647795,4597720,16
11,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1400,14530,4720,4639724,4594920,16
12,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1410,14620,4750,4649364,4599040,16
13,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1430,14870,4790,4652775,4602560,16
14,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1360,14940,4790,4642674,4601680,16
15,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1360,14420,4840,4651654,4601440,16
16,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1440,15081,4920,4648754,4598880,16
17,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1360,14740,4740,4649934,4599880,16
18,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1370,14870,4520,4646975,4596720,16
19,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1410,14480,4660,4651094,4600920,16
20,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1380,14670,5290,4648764,4598240,16
21,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1380,14600,4790,4654385,4604440,16
22,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1400,14820,4740,4664844,4599640,16
23,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1360,14750,4640,4649425,4598920,16
24,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1370,15240,5050,4651564,4601160,16
25,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1690,15140,5460,4643944,4593960,16
26,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1660,14590,4770,4648215,4598200,16
27,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1400,14850,4820,4683794,4632560,16
28,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,2790,23020,8571,4646804,4597720,16
29,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,1540,14640,5260,4647344,4598240,16
# validation_hash,fnv1a64:bed1d5e4700d559c
