# collection_id,20260725T193736Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Ryzen 5 9600X 6-Core Processor (RADV RAPHAEL_MENDOCINO)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1410,3920,4720,3881000,3832480,16
1,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1520,4420,4520,3891530,3836720,16
2,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1380,4710,5361,3886830,3837320,16
3,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1500,4280,5540,3877540,3829000,16
4,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1680,4120,4230,3894400,3831920,16
5,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1470,4260,5450,3877841,3829080,16
6,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1380,4060,4160,3880390,3832760,16
7,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1550,3990,4360,3879840,3832520,16
8,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1440,4380,5710,3884381,3835400,16
9,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1720,4340,4920,3880040,3832000,16
10,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1390,4150,4050,3875380,3827680,16
11,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1620,4170,5620,3877891,3829480,16
12,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1400,4220,3990,3881390,3833440,16
13,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1480,4250,4330,3904580,3835280,16
14,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1350,4050,4180,3886371,3838480,16
15,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1490,4220,4050,3884110,3836280,16
16,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1630,4130,4290,3883590,3836040,16
17,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1500,4070,4220,3879311,3831560,16
18,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1400,4420,5810,3885280,3836000,16
19,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1500,4290,4220,3879880,3832600,16
20,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1420,4200,4050,3878651,3831080,16
21,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1760,4340,5450,3879470,3830720,16
22,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1360,3800,9520,3880300,3829640,16
23,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1490,4390,5360,3898671,3829600,16
24,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1430,3910,4090,3878780,3830720,16
25,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1410,4370,4220,3872570,3825120,16
26,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1430,4130,4120,3879990,3832160,16
27,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1520,4350,4240,3885281,3837600,16
28,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1400,3820,4330,3879070,3831040,16
29,compute-chain,automatic-scoped,16,1048576,8,1024,1024,1470,4500,5830,3879490,3830200,16
# validation_hash,fnv1a64:1051691fc9daa325
