# collection_id,20260725T193736Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Ryzen 5 9600X 6-Core Processor (RADV RAPHAEL_MENDOCINO)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-chain,automatic,16,1048576,8,1024,1024,1450,4100,4230,3889630,3839640,16
1,compute-chain,automatic,16,1048576,8,1024,1024,1500,4350,5950,3887641,3837760,16
2,compute-chain,automatic,16,1048576,8,1024,1024,1420,4150,4310,3887970,3838800,16
3,compute-chain,automatic,16,1048576,8,1024,1024,1480,4360,4340,3883990,3834720,16
4,compute-chain,automatic,16,1048576,8,1024,1024,1400,4250,4460,3900641,3837960,16
5,compute-chain,automatic,16,1048576,8,1024,1024,1490,4400,4390,3892350,3843240,16
6,compute-chain,automatic,16,1048576,8,1024,1024,1390,4190,4440,3890600,3840520,16
7,compute-chain,automatic,16,1048576,8,1024,1024,1480,4280,4641,3885270,3835640,16
8,compute-chain,automatic,16,1048576,8,1024,1024,1450,4130,4620,3889240,3839320,16
9,compute-chain,automatic,16,1048576,8,1024,1024,1520,4230,4420,3887750,3838480,16
10,compute-chain,automatic,16,1048576,8,1024,1024,1480,4280,4230,3889380,3840400,16
11,compute-chain,automatic,16,1048576,8,1024,1024,1500,4500,4380,3885850,3837080,16
12,compute-chain,automatic,16,1048576,8,1024,1024,1410,4100,4250,3949011,3909120,16
13,compute-chain,automatic,16,1048576,8,1024,1024,2280,5290,7220,3888560,3840400,16
14,compute-chain,automatic,16,1048576,8,1024,1024,1470,4200,4430,3889441,3840560,16
15,compute-chain,automatic,16,1048576,8,1024,1024,1470,4500,4340,3892770,3840640,16
16,compute-chain,automatic,16,1048576,8,1024,1024,1380,4300,4690,3886450,3836920,16
17,compute-chain,automatic,16,1048576,8,1024,1024,1690,4250,4380,3886381,3837480,16
18,compute-chain,automatic,16,1048576,8,1024,1024,1380,4100,4890,3886590,3837000,16
19,compute-chain,automatic,16,1048576,8,1024,1024,1470,4420,4470,3891480,3842000,16
20,compute-chain,automatic,16,1048576,8,1024,1024,1390,4070,4090,3885441,3835000,16
21,compute-chain,automatic,16,1048576,8,1024,1024,1470,4260,4710,3888100,3838560,16
22,compute-chain,automatic,16,1048576,8,1024,1024,1370,4290,4630,3884030,3834520,16
23,compute-chain,automatic,16,1048576,8,1024,1024,1460,4280,4420,3891621,3842160,16
24,compute-chain,automatic,16,1048576,8,1024,1024,1380,4090,4690,3889640,3840120,16
25,compute-chain,automatic,16,1048576,8,1024,1024,1490,4590,4210,3894080,3837640,16
26,compute-chain,automatic,16,1048576,8,1024,1024,1400,4350,4530,3896401,3847160,16
27,compute-chain,automatic,16,1048576,8,1024,1024,1460,4770,4180,3884350,3835320,16
28,compute-chain,automatic,16,1048576,8,1024,1024,1380,4170,4680,3890000,3840560,16
29,compute-chain,automatic,16,1048576,8,1024,1024,1470,4380,4301,3887850,3838520,16
# validation_hash,fnv1a64:1051691fc9daa325
