# collection_id,20260725T193736Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Ryzen 5 9600X 6-Core Processor (RADV RAPHAEL_MENDOCINO)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1480,4221,4610,3883930,3835880,16
1,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1480,5810,6410,3886530,3836480,16
2,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1610,6270,5370,3886580,3837200,16
3,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1510,6531,9260,3888330,3838320,16
4,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1460,6380,5030,3888370,3838600,16
5,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1500,9670,4890,3888421,3837600,16
6,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1480,6280,5510,3891790,3842320,16
7,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1440,6360,5260,3890960,3841600,16
8,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1440,6480,5501,3886530,3837640,16
9,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1430,6340,5360,3887560,3837840,16
10,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1470,6320,4740,3888870,3838800,16
11,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1470,6431,5030,3888560,3839160,16
12,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1590,6450,4560,3892350,3841840,16
13,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1700,6060,6740,3887741,3837840,16
14,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1550,6450,5270,3888840,3843360,16
15,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1610,6430,5230,3887760,3838040,16
16,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1470,6380,5240,3891601,3836600,16
17,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1550,6340,5320,3886690,3836760,16
18,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1620,6400,5120,3885580,3835840,16
19,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1440,6380,5230,3892271,3842160,16
20,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1450,6440,5060,3888730,3838720,16
21,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1470,6360,6240,3892900,3840960,16
22,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1500,6611,5340,3885600,3835920,16
23,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1630,6390,5360,3883500,3833960,16
24,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1480,6450,5450,3891391,3838280,16
25,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1490,6440,5180,3885750,3835520,16
26,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1480,6550,5390,3887300,3837720,16
27,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1430,6520,5400,3883951,3834520,16
28,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1470,6540,4690,3888960,3838480,16
29,compute-chain,explicit-all-scoped,16,1048576,8,1024,1024,1470,6910,6290,3888520,3836760,16
# validation_hash,fnv1a64:1051691fc9daa325
