# collection_id,20260725T193736Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Ryzen 5 9600X 6-Core Processor (RADV RAPHAEL_MENDOCINO)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1570,4150,4460,3920370,3853960,16
1,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1500,4240,5140,3902721,3852520,16
2,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1560,4030,4230,3914730,3864520,16
3,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1720,4100,4290,3903191,3853680,16
4,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1500,4110,4510,3901290,3850960,16
5,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1410,3950,4420,3901120,3851480,16
6,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1510,3930,4630,3904881,3854720,16
7,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1470,4040,4440,3902380,3852400,16
8,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1480,4050,4460,3904671,3854720,16
9,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1490,4170,4390,3909790,3859520,16
10,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1510,4140,4430,3901260,3851280,16
11,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1460,4110,4490,3901431,3851120,16
12,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1460,4190,4420,3916370,3857760,16
13,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1490,4060,4320,3909101,3859040,16
14,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1510,3810,4220,3946371,3896600,16
15,compute-independent,automatic-scoped,16,1048576,8,1024,1024,5410,9300,14500,3915230,3866360,16
16,compute-independent,automatic-scoped,16,1048576,8,1024,1024,2900,5960,9670,3903991,3855520,16
17,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1550,4100,4580,3903600,3854040,16
18,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1470,4110,4530,3904720,3854480,16
19,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1630,4270,4280,3909800,3860160,16
20,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1450,4230,4430,3901110,3851600,16
21,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1460,4140,4600,3905841,3856320,16
22,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1450,4120,4130,3904190,3853920,16
23,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1440,4220,4660,3902041,3851880,16
24,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1460,4130,4750,3903650,3854040,16
25,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1440,4120,4550,3913620,3852120,16
26,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1470,4150,4200,3906511,3856160,16
27,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1440,4020,4120,3910280,3859800,16
28,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1650,4000,4651,3900980,3851040,16
29,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1480,4080,4580,3900670,3850480,16
# validation_hash,fnv1a64:f0047a40f9cd8b25
