# collection_id,20260725T193736Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Ryzen 5 9600X 6-Core Processor (RADV RAPHAEL_MENDOCINO)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1750,2960,5700,3917780,3871280,16
1,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1880,2880,5860,3887041,3839960,16
2,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1680,2850,5280,3872290,3823320,16
3,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1500,3000,5160,3874090,3825200,16
4,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1610,2840,4960,3872611,3824200,16
5,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1470,2800,5030,3875850,3827760,16
6,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1590,2820,4350,3878860,3829480,16
7,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1450,2790,4170,3877830,3828120,16
8,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1470,2910,4650,3877541,3824720,16
9,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1450,3040,4450,3880580,3832400,16
10,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1460,3040,5170,3876840,3828200,16
11,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1770,2980,6930,3872420,3824080,16
12,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1530,2880,4550,3872161,3823240,16
13,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1470,2770,4860,3877130,3828720,16
14,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1470,2920,4810,3873710,3825000,16
15,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1460,2920,4290,3875981,3826760,16
16,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1470,2930,4360,3882630,3833320,16
17,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1460,2940,4870,3900660,3829400,16
18,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1470,2970,4650,3877401,3828760,16
19,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1440,3150,4550,3876030,3827360,16
20,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1470,3010,4670,3878620,3829800,16
21,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1440,3000,4710,3874510,3825800,16
22,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1380,2960,4340,3878951,3829400,16
23,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1450,2870,4860,3868090,3819040,16
24,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1460,2810,4920,3879910,3831360,16
25,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1450,2890,4630,3874420,3825520,16
26,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1440,2890,4850,3900311,3826000,16
27,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1440,3050,4630,3879960,3831120,16
28,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1460,2840,4760,3879271,3830280,16
29,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1460,2900,4640,3880070,3831240,16
# validation_hash,fnv1a64:f0047a40f9cd8b25
