# collection_id,20260725T193736Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Ryzen 5 9600X 6-Core Processor (RADV RAPHAEL_MENDOCINO)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-chain,hazard-only,16,1048576,8,1024,1024,1350,12760,4770,4471793,4422440,16
1,graphics-chain,hazard-only,16,1048576,8,1024,1024,1750,18531,5010,4480833,4422320,16
2,graphics-chain,hazard-only,16,1048576,8,1024,1024,1520,16470,5290,4472434,4422720,16
3,graphics-chain,hazard-only,16,1048576,8,1024,1024,1580,16050,4760,4480323,4422160,16
4,graphics-chain,hazard-only,16,1048576,8,1024,1024,1840,16180,5280,4468294,4418640,16
5,graphics-chain,hazard-only,16,1048576,8,1024,1024,1580,15570,5090,4479633,4419720,16
6,graphics-chain,hazard-only,16,1048576,8,1024,1024,1420,15980,5170,4468684,4420240,16
7,graphics-chain,hazard-only,16,1048576,8,1024,1024,1550,15380,4980,4489113,4423160,16
8,graphics-chain,hazard-only,16,1048576,8,1024,1024,1400,15520,4890,4471923,4422160,16
9,graphics-chain,hazard-only,16,1048576,8,1024,1024,1760,15761,5020,4481043,4423320,16
10,graphics-chain,hazard-only,16,1048576,8,1024,1024,1390,15630,4770,4472473,4422720,16
11,graphics-chain,hazard-only,16,1048576,8,1024,1024,1600,15460,5040,4479524,4423280,16
12,graphics-chain,hazard-only,16,1048576,8,1024,1024,1440,15740,4850,4469103,4419360,16
13,graphics-chain,hazard-only,16,1048576,8,1024,1024,1770,15430,4880,4488804,4422000,16
14,graphics-chain,hazard-only,16,1048576,8,1024,1024,1530,15700,4940,4472434,4422720,16
15,graphics-chain,hazard-only,16,1048576,8,1024,1024,1670,16230,4760,4476353,4422160,16
16,graphics-chain,hazard-only,16,1048576,8,1024,1024,1370,15130,4720,4474353,4425000,16
17,graphics-chain,hazard-only,16,1048576,8,1024,1024,1550,15920,4811,4481543,4422480,16
18,graphics-chain,hazard-only,16,1048576,8,1024,1024,1390,15120,4840,4471153,4420600,16
19,graphics-chain,hazard-only,16,1048576,8,1024,1024,1540,15960,4960,4484554,4426760,16
20,graphics-chain,hazard-only,16,1048576,8,1024,1024,1470,15590,4890,4476423,4426560,16
21,graphics-chain,hazard-only,16,1048576,8,1024,1024,1530,15550,5340,4471764,4422280,16
22,graphics-chain,hazard-only,16,1048576,8,1024,1024,1620,15920,4820,4472443,4422640,16
23,graphics-chain,hazard-only,16,1048576,8,1024,1024,1660,15350,5160,4478814,4421040,16
24,graphics-chain,hazard-only,16,1048576,8,1024,1024,1390,14990,5120,4472803,4422960,16
25,graphics-chain,hazard-only,16,1048576,8,1024,1024,1540,16100,4870,4483004,4422760,16
26,graphics-chain,hazard-only,16,1048576,8,1024,1024,1380,15090,5030,4471213,4421560,16
27,graphics-chain,hazard-only,16,1048576,8,1024,1024,1510,15900,4890,4489004,4421720,16
28,graphics-chain,hazard-only,16,1048576,8,1024,1024,1410,14960,4830,4471293,4421600,16
29,graphics-chain,hazard-only,16,1048576,8,1024,1024,1520,15890,4850,4481283,4424200,16
# validation_hash,fnv1a64:de1814328067f325
