# collection_id,20260725T193736Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Ryzen 5 9600X 6-Core Processor (RADV RAPHAEL_MENDOCINO)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,1450,23360,4790,5304097,5254240,16
1,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,1370,23470,4720,5303878,5253160,16
2,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,1380,23710,4610,5303987,5253520,16
3,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,1340,23340,4370,5313708,5252320,16
4,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,1440,23600,4690,5304298,5253760,16
5,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,1340,23650,4650,5302768,5252600,16
6,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,1380,24110,6860,5304338,5252960,16
7,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,1590,23630,4730,5304758,5254440,16
8,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,1340,23500,4500,5304907,5253800,16
9,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,1350,25900,4590,5303308,5251720,16
10,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,1340,23460,4580,5304048,5253320,16
11,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,1530,23410,4710,5304258,5253360,16
12,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,1430,25460,4880,5322028,5253440,16
13,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,10390,71730,37860,5323508,5253800,16
14,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,3000,31620,11421,5319437,5251760,16
15,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,4790,51181,15510,5307247,5251240,16
16,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,2340,25900,8630,5299778,5252400,16
17,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,1410,24370,5371,5304267,5253320,16
18,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,1410,23800,4910,5309948,5254200,16
19,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,1300,23760,4730,5305338,5254720,16
20,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,1350,24150,4490,5302658,5251640,16
21,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,1310,23700,5830,5301057,5250680,16
22,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,1300,23861,4790,5305137,5253880,16
23,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,1280,23660,4870,5304358,5253200,16
24,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,1380,24510,4640,5309498,5253320,16
25,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,1290,24260,4780,5303268,5252640,16
26,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,1320,23830,4630,5303107,5253200,16
27,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,1500,23991,4880,5304237,5253600,16
28,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,1370,23971,4700,5302767,5252120,16
29,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,1290,24010,4600,5303978,5253320,16
# validation_hash,fnv1a64:161975f4e03e1a92
