# collection_id,20260725T193736Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Ryzen 5 9600X 6-Core Processor (RADV RAPHAEL_MENDOCINO)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,mixed-chain,explicit-all,16,1048576,8,1024,1024,3080,14360,10250,4234732,4174560,16
1,mixed-chain,explicit-all,16,1048576,8,1024,1024,2730,13790,9830,4232032,4176880,16
2,mixed-chain,explicit-all,16,1048576,8,1024,1024,2740,13360,9700,4219362,4169240,16
3,mixed-chain,explicit-all,16,1048576,8,1024,1024,2320,11370,7960,4252683,4211080,16
4,mixed-chain,explicit-all,16,1048576,8,1024,1024,2360,11470,7180,4207432,4168880,16
5,mixed-chain,explicit-all,16,1048576,8,1024,1024,1430,9130,5200,4212421,4175000,16
6,mixed-chain,explicit-all,16,1048576,8,1024,1024,1490,9201,4780,4220262,4184960,16
7,mixed-chain,explicit-all,16,1048576,8,1024,1024,2120,10780,5910,4282262,4237040,16
8,mixed-chain,explicit-all,16,1048576,8,1024,1024,4970,20330,16251,4217851,4181840,16
9,mixed-chain,explicit-all,16,1048576,8,1024,1024,1750,9631,5430,4212281,4174600,16
10,mixed-chain,explicit-all,16,1048576,8,1024,1024,1450,9180,5080,4209463,4171880,16
11,mixed-chain,explicit-all,16,1048576,8,1024,1024,1460,9090,4780,4255432,4216200,16
12,mixed-chain,explicit-all,16,1048576,8,1024,1024,3240,15150,9860,4216112,4177960,16
13,mixed-chain,explicit-all,16,1048576,8,1024,1024,1540,9080,5100,4208182,4170640,16
14,mixed-chain,explicit-all,16,1048576,8,1024,1024,1680,9100,4850,4206092,4168640,16
15,mixed-chain,explicit-all,16,1048576,8,1024,1024,1430,9050,4800,4221772,4183560,16
16,mixed-chain,explicit-all,16,1048576,8,1024,1024,2340,11630,7940,4212802,4175480,16
17,mixed-chain,explicit-all,16,1048576,8,1024,1024,1420,9010,4760,4210372,4173040,16
18,mixed-chain,explicit-all,16,1048576,8,1024,1024,1450,9120,4930,4225163,4175320,16
19,mixed-chain,explicit-all,16,1048576,8,1024,1024,1460,9090,4730,4229042,4178400,16
20,mixed-chain,explicit-all,16,1048576,8,1024,1024,1510,9160,5820,4235092,4177800,16
21,mixed-chain,explicit-all,16,1048576,8,1024,1024,1470,9150,5220,4218642,4170560,16
22,mixed-chain,explicit-all,16,1048576,8,1024,1024,1450,9120,5040,4231472,4173920,16
23,mixed-chain,explicit-all,16,1048576,8,1024,1024,1420,9250,5050,4228292,4178040,16
24,mixed-chain,explicit-all,16,1048576,8,1024,1024,1450,9030,5060,4225612,4180040,16
25,mixed-chain,explicit-all,16,1048576,8,1024,1024,1460,9151,4610,4224221,4173720,16
26,mixed-chain,explicit-all,16,1048576,8,1024,1024,1500,8980,4920,4223693,4173320,16
27,mixed-chain,explicit-all,16,1048576,8,1024,1024,1430,9070,5310,4225922,4175800,16
28,mixed-chain,explicit-all,16,1048576,8,1024,1024,1450,9140,5410,4228812,4178400,16
29,mixed-chain,explicit-all,16,1048576,8,1024,1024,1470,9060,5170,4222102,4171760,16
# validation_hash,fnv1a64:d723cf861be8a15e
