# collection_id,20260725T193736Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Ryzen 5 9600X 6-Core Processor (RADV RAPHAEL_MENDOCINO)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1560,9100,4560,4223812,4175440,16
1,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1550,9210,4930,4227202,4177560,16
2,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1550,9030,4430,4228522,4178840,16
3,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1570,9080,4610,4224512,4169120,16
4,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1570,9110,4590,4226502,4176320,16
5,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1560,9050,4530,4228312,4178280,16
6,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1560,9080,4590,4229073,4176960,16
7,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1570,9010,4500,4218581,4168280,16
8,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1610,8931,4410,4224152,4173560,16
9,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1560,8910,4500,4226532,4175600,16
10,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1550,9030,4420,4225832,4175440,16
11,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1740,8970,4590,4228272,4177520,16
12,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1570,8930,4560,4225722,4175080,16
13,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1780,9040,4420,4225842,4175400,16
14,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1590,9000,4630,4222433,4171600,16
15,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1670,9040,4820,4237572,4174720,16
16,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1550,8970,4600,4223272,4174000,16
17,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1550,9080,4290,4223162,4174040,16
18,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1540,9060,4390,4223622,4174560,16
19,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1570,9120,4880,4216622,4179560,16
20,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1580,9020,4800,4237972,4189160,16
21,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1580,8990,4650,4227552,4177400,16
22,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1560,8870,4321,4222732,4172920,16
23,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1570,8880,4500,4222772,4173000,16
24,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1570,8900,4440,4224652,4174640,16
25,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1570,9030,4410,4223702,4173720,16
26,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1640,9080,4390,4224032,4173960,16
27,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1700,9090,4450,4221952,4172520,16
28,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1550,9100,4640,4220342,4171000,16
29,mixed-chain,hazard-only-scoped,16,1048576,8,1024,1024,1570,9130,4480,4224242,4174960,16
# validation_hash,fnv1a64:d723cf861be8a15e
