# collection_id,20260725T193736Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Ryzen 5 9600X 6-Core Processor (RADV RAPHAEL_MENDOCINO)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,mixed-chain,hazard-only,16,1048576,8,1024,1024,1450,8950,5050,4217182,4170240,16
1,mixed-chain,hazard-only,16,1048576,8,1024,1024,1490,9140,4960,4223012,4176160,16
2,mixed-chain,hazard-only,16,1048576,8,1024,1024,1470,9180,5070,4224242,4177400,16
3,mixed-chain,hazard-only,16,1048576,8,1024,1024,1460,9050,4930,4225282,4178560,16
4,mixed-chain,hazard-only,16,1048576,8,1024,1024,1470,9040,4930,4221032,4174000,16
5,mixed-chain,hazard-only,16,1048576,8,1024,1024,1460,9110,4821,4220441,4173560,16
6,mixed-chain,hazard-only,16,1048576,8,1024,1024,1500,9041,5010,4222862,4175480,16
7,mixed-chain,hazard-only,16,1048576,8,1024,1024,1470,9030,4880,4219602,4172760,16
8,mixed-chain,hazard-only,16,1048576,8,1024,1024,1470,9340,4810,4221542,4174080,16
9,mixed-chain,hazard-only,16,1048576,8,1024,1024,1450,9080,4840,4223682,4176480,16
10,mixed-chain,hazard-only,16,1048576,8,1024,1024,1460,9320,4820,4212162,4174560,16
11,mixed-chain,hazard-only,16,1048576,8,1024,1024,1570,9190,4980,4214122,4176480,16
12,mixed-chain,hazard-only,16,1048576,8,1024,1024,1570,9030,4810,4212302,4173360,16
13,mixed-chain,hazard-only,16,1048576,8,1024,1024,2630,14770,8550,4235302,4193880,16
14,mixed-chain,hazard-only,16,1048576,8,1024,1024,1780,11060,5961,4205661,4170640,16
15,mixed-chain,hazard-only,16,1048576,8,1024,1024,1510,9180,4960,4220223,4171640,16
16,mixed-chain,hazard-only,16,1048576,8,1024,1024,1470,9140,4710,4218612,4180280,16
17,mixed-chain,hazard-only,16,1048576,8,1024,1024,1860,10390,5490,4207202,4171000,16
18,mixed-chain,hazard-only,16,1048576,8,1024,1024,1470,9080,4700,4227082,4178480,16
19,mixed-chain,hazard-only,16,1048576,8,1024,1024,1640,9290,4560,4254702,4178360,16
20,mixed-chain,hazard-only,16,1048576,8,1024,1024,1430,9110,4980,4222652,4172560,16
21,mixed-chain,hazard-only,16,1048576,8,1024,1024,1430,9070,4660,4222122,4172400,16
22,mixed-chain,hazard-only,16,1048576,8,1024,1024,1430,9080,4521,4227061,4176960,16
23,mixed-chain,hazard-only,16,1048576,8,1024,1024,1410,9160,4690,4224153,4174320,16
24,mixed-chain,hazard-only,16,1048576,8,1024,1024,1420,9100,4790,4222952,4172800,16
25,mixed-chain,hazard-only,16,1048576,8,1024,1024,1430,9030,4490,4230552,4172680,16
26,mixed-chain,hazard-only,16,1048576,8,1024,1024,1610,9170,4680,4222012,4172120,16
27,mixed-chain,hazard-only,16,1048576,8,1024,1024,1430,9100,5100,4223892,4174280,16
28,mixed-chain,hazard-only,16,1048576,8,1024,1024,1420,9050,4860,4227842,4177960,16
29,mixed-chain,hazard-only,16,1048576,8,1024,1024,1450,9250,4690,4224632,4174800,16
# validation_hash,fnv1a64:d723cf861be8a15e
