# collection_id,20260725T193736Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Ryzen 5 9600X 6-Core Processor (RADV RAPHAEL_MENDOCINO)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,mixed-independent,explicit-all,16,1048576,8,1024,1024,1420,14940,4950,4653734,4602920,16
1,mixed-independent,explicit-all,16,1048576,8,1024,1024,1440,14960,5000,4664725,4602640,16
2,mixed-independent,explicit-all,16,1048576,8,1024,1024,1410,14880,4810,4651014,4600280,16
3,mixed-independent,explicit-all,16,1048576,8,1024,1024,1390,15090,5070,4653874,4602960,16
4,mixed-independent,explicit-all,16,1048576,8,1024,1024,1440,15150,4860,4653875,4603440,16
5,mixed-independent,explicit-all,16,1048576,8,1024,1024,1390,14810,4910,4654864,4603600,16
6,mixed-independent,explicit-all,16,1048576,8,1024,1024,1410,14840,4830,4655555,4604440,16
7,mixed-independent,explicit-all,16,1048576,8,1024,1024,1370,14830,4660,4651344,4602320,16
8,mixed-independent,explicit-all,16,1048576,8,1024,1024,1360,15540,4730,4657254,4606520,16
9,mixed-independent,explicit-all,16,1048576,8,1024,1024,1410,14750,4960,4651455,4600560,16
10,mixed-independent,explicit-all,16,1048576,8,1024,1024,1400,14820,4950,4651364,4600360,16
11,mixed-independent,explicit-all,16,1048576,8,1024,1024,1600,15050,5140,4647334,4596200,16
12,mixed-independent,explicit-all,16,1048576,8,1024,1024,1410,14840,4761,4651684,4600840,16
13,mixed-independent,explicit-all,16,1048576,8,1024,1024,1380,14950,4870,4651224,4599960,16
14,mixed-independent,explicit-all,16,1048576,8,1024,1024,1670,14750,4710,4651975,4601240,16
15,mixed-independent,explicit-all,16,1048576,8,1024,1024,1380,14880,4910,4651074,4600200,16
16,mixed-independent,explicit-all,16,1048576,8,1024,1024,1410,15230,4840,4651794,4602360,16
17,mixed-independent,explicit-all,16,1048576,8,1024,1024,1370,14820,4650,4655705,4604800,16
18,mixed-independent,explicit-all,16,1048576,8,1024,1024,1410,15170,4680,4653114,4602280,16
19,mixed-independent,explicit-all,16,1048576,8,1024,1024,1410,14770,4850,4654454,4603440,16
20,mixed-independent,explicit-all,16,1048576,8,1024,1024,1590,14841,5250,4650884,4600080,16
21,mixed-independent,explicit-all,16,1048576,8,1024,1024,1410,14910,4890,4650404,4599440,16
22,mixed-independent,explicit-all,16,1048576,8,1024,1024,1400,14900,4680,4655585,4604960,16
23,mixed-independent,explicit-all,16,1048576,8,1024,1024,1350,15000,4770,4651734,4600840,16
24,mixed-independent,explicit-all,16,1048576,8,1024,1024,1410,14860,5040,4653424,4602320,16
25,mixed-independent,explicit-all,16,1048576,8,1024,1024,1380,14901,4750,4656354,4605360,16
26,mixed-independent,explicit-all,16,1048576,8,1024,1024,1900,15600,5480,4649834,4599240,16
27,mixed-independent,explicit-all,16,1048576,8,1024,1024,1580,15100,4870,4650805,4599880,16
28,mixed-independent,explicit-all,16,1048576,8,1024,1024,1430,15020,4770,4659844,4601240,16
29,mixed-independent,explicit-all,16,1048576,8,1024,1024,1380,15360,4800,4662845,4604880,16
# validation_hash,fnv1a64:bed1d5e4700d559c
