# collection_id,20260725T193736Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"AMD Ryzen 5 9600X 6-Core Processor (RADV RAPHAEL_MENDOCINO)"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,mixed-independent,hazard-only,16,1048576,8,1024,1024,1500,13690,5110,4563364,4513320,16
1,mixed-independent,hazard-only,16,1048576,8,1024,1024,1510,13510,4900,4566684,4507600,16
2,mixed-independent,hazard-only,16,1048576,8,1024,1024,1530,13690,5120,4559384,4509120,16
3,mixed-independent,hazard-only,16,1048576,8,1024,1024,1500,13680,4820,4561694,4512000,16
4,mixed-independent,hazard-only,16,1048576,8,1024,1024,1470,13590,4890,4563904,4514360,16
5,mixed-independent,hazard-only,16,1048576,8,1024,1024,1520,13790,4750,4560314,4510520,16
6,mixed-independent,hazard-only,16,1048576,8,1024,1024,1510,13730,4850,4562534,4512800,16
7,mixed-independent,hazard-only,16,1048576,8,1024,1024,1490,13680,5160,4562183,4513040,16
8,mixed-independent,hazard-only,16,1048576,8,1024,1024,1500,13761,4860,4572194,4510560,16
9,mixed-independent,hazard-only,16,1048576,8,1024,1024,1500,13860,4830,4560273,4510360,16
10,mixed-independent,hazard-only,16,1048576,8,1024,1024,1550,14250,4850,4563664,4513640,16
11,mixed-independent,hazard-only,16,1048576,8,1024,1024,1490,13670,4730,4588264,4517440,16
12,mixed-independent,hazard-only,16,1048576,8,1024,1024,10990,51770,34730,4577804,4507680,16
13,mixed-independent,hazard-only,16,1048576,8,1024,1024,3080,20050,10670,4565894,4510880,16
14,mixed-independent,hazard-only,16,1048576,8,1024,1024,2810,18680,9570,4568164,4513600,16
15,mixed-independent,hazard-only,16,1048576,8,1024,1024,2810,18580,9680,4566984,4512000,16
16,mixed-independent,hazard-only,16,1048576,8,1024,1024,2670,18510,9640,4560044,4511400,16
17,mixed-independent,hazard-only,16,1048576,8,1024,1024,1530,13980,5520,4570014,4512240,16
18,mixed-independent,hazard-only,16,1048576,8,1024,1024,1620,14090,4940,4559414,4511480,16
19,mixed-independent,hazard-only,16,1048576,8,1024,1024,1520,13530,5000,4608274,4567080,16
20,mixed-independent,hazard-only,16,1048576,8,1024,1024,3620,19090,12100,4556724,4508160,16
21,mixed-independent,hazard-only,16,1048576,8,1024,1024,1710,14000,5630,4564044,4514200,16
22,mixed-independent,hazard-only,16,1048576,8,1024,1024,1480,13870,4780,4562173,4511960,16
23,mixed-independent,hazard-only,16,1048576,8,1024,1024,1480,13521,4870,4561904,4511760,16
24,mixed-independent,hazard-only,16,1048576,8,1024,1024,1470,13650,5010,4561954,4512240,16
25,mixed-independent,hazard-only,16,1048576,8,1024,1024,1500,13900,4780,4559683,4511320,16
26,mixed-independent,hazard-only,16,1048576,8,1024,1024,1490,14010,4790,4559164,4509280,16
27,mixed-independent,hazard-only,16,1048576,8,1024,1024,1510,13670,4760,4558624,4508960,16
28,mixed-independent,hazard-only,16,1048576,8,1024,1024,1430,13560,5080,4559874,4510400,16
29,mixed-independent,hazard-only,16,1048576,8,1024,1024,1460,13790,4920,4559724,4509560,16
# validation_hash,fnv1a64:bed1d5e4700d559c
