# collection_id,20260725T193736Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,wgpu
# wgpu_version,30.0.0
# backend,vulkan
# device_name,"AMD Ryzen 5 9600X 6-Core Processor (RADV RAPHAEL_MENDOCINO)"
# vendor_id,0x1002
# device_id,0x13c0
# device_type,IntegratedGpu
# device_pci_bus_id,"0000:0e:00.0"
# driver_name,"radv"
# driver_info,"Mesa 26.0.3-1ubuntu1"
# software_emulated,false
# validation,false
# gpu_timing,true
# timestamp_period_ns,10
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-chain,tracked,16,1048576,8,1024,1024,200,3910,48931,4437513,4376720,16
1,compute-chain,tracked,16,1048576,8,1024,1024,230,3970,50520,4423113,4368000,16
2,compute-chain,tracked,16,1048576,8,1024,1024,200,3950,47930,4423404,4368560,16
3,compute-chain,tracked,16,1048576,8,1024,1024,190,3860,47920,4427273,4371000,16
4,compute-chain,tracked,16,1048576,8,1024,1024,190,3890,51450,4431693,4375280,16
5,compute-chain,tracked,16,1048576,8,1024,1024,210,3830,47871,4426182,4369720,16
6,compute-chain,tracked,16,1048576,8,1024,1024,190,3850,49931,4433013,4373440,16
7,compute-chain,tracked,16,1048576,8,1024,1024,200,3980,48360,4434714,4378640,16
8,compute-chain,tracked,16,1048576,8,1024,1024,190,3890,48450,4456433,4408200,16
9,compute-chain,tracked,16,1048576,8,1024,1024,290,4620,59890,4452484,4404480,16
10,compute-chain,tracked,16,1048576,8,1024,1024,180,3960,50780,4433133,4374960,16
11,compute-chain,tracked,16,1048576,8,1024,1024,200,3900,48570,4439994,4368000,16
12,compute-chain,tracked,16,1048576,8,1024,1024,1180,12230,166380,4704295,4623480,16
13,compute-chain,tracked,16,1048576,8,1024,1024,690,7060,100731,4461473,4417000,16
14,compute-chain,tracked,16,1048576,8,1024,1024,340,4570,54590,4425363,4373400,16
15,compute-chain,tracked,16,1048576,8,1024,1024,190,3970,49111,4451583,4371600,16
16,compute-chain,tracked,16,1048576,8,1024,1024,210,3900,49090,4500274,4448800,16
17,compute-chain,tracked,16,1048576,8,1024,1024,320,4150,59760,4417623,4373520,16
18,compute-chain,tracked,16,1048576,8,1024,1024,190,3910,48990,4427533,4374280,16
19,compute-chain,tracked,16,1048576,8,1024,1024,200,3840,48301,4445903,4392880,16
20,compute-chain,tracked,16,1048576,8,1024,1024,230,4120,50670,4419143,4370720,16
21,compute-chain,tracked,16,1048576,8,1024,1024,200,3910,49150,4467154,4373080,16
22,compute-chain,tracked,16,1048576,8,1024,1024,220,3860,47950,4436713,4376040,16
23,compute-chain,tracked,16,1048576,8,1024,1024,200,3870,48430,4451234,4374960,16
24,compute-chain,tracked,16,1048576,8,1024,1024,210,3840,48360,4432263,4375680,16
25,compute-chain,tracked,16,1048576,8,1024,1024,200,3820,47871,4459843,4374080,16
26,compute-chain,tracked,16,1048576,8,1024,1024,190,3820,48510,4430553,4374240,16
27,compute-chain,tracked,16,1048576,8,1024,1024,200,3850,48320,4425803,4369000,16
28,compute-chain,tracked,16,1048576,8,1024,1024,200,3880,49451,4427923,4371120,16
29,compute-chain,tracked,16,1048576,8,1024,1024,200,3800,48070,4442013,4372560,16
# validation_hash,fnv1a64:1051691fc9daa325
